Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,Boar Stud.y,Collnum,Col_Date,Tech,Ext_Name,Tot_Ext_Vol,Used_Doses,Dose_Actual,Collection Status,Sperm_Conc,Tot_Sperm,Sem_Vol_Used,TRCODE,Motility,Ext_Batch_Num,EBV,date,rest,stay
Clinton,07392,DNA600,WORKING,2020-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,107
Clinton,07472,DNA600,WORKING,2020-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,107
Clinton,24871,PICL02,WORKING,2021-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,51
Clinton,24971,PICL02,WORKING,2021-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,51
Clinton,25285,PICL02,WORKING,2021-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,51
Clinton,4228E,SPG240,WORKING,2020-03-19,NA,NA,97.85678547175516,Clinton,20001094585,2021-01-07,W,PRIMXCELL,0,46.7,46.84,US,0.798,107.73,135,NA,85,NA,125.97,2021-03-12,64,358
Clinton,4476G,SPG240,WORKING,2020-07-16,NA,NA,93.94943790810538,Clinton,20001095740,2021-02-23,O,PRIMXCELL,NA,0,0,TR,0.563,91.2,162,25,60,NA,125.94,2021-03-12,17,239
Clinton,4539G,SPG240,WORKING,2020-07-16,NA,NA,121.63800407034401,Clinton,20001095573,2021-02-16,W,PRIMXCELL,NA,0,0,TR,0.894,184.16,206,25,40,NA,126.08,2021-03-12,24,239
Clinton,4681G,SPG240,WORKING,2020-07-16,NA,NA,117.53736860064134,Clinton,20001095181,2021-02-01,W,NUTRIXCELL,NA,0,0,TR,0.384,103.29,269,25,40,NA,126.11,2021-03-12,39,239
Clinton,4768E,SPG240,WORKING,2020-03-19,NA,NA,78.26610790007035,Clinton,20001094548,2021-01-07,G,PRIMXCELL,0,17.8,17.99,US,0.21,41.37,197,NA,85,NA,126.3,2021-03-12,64,358
Clinton,6764C,SPG240,WORKING,2019-09-26,NA,NA,99.95362209961047,Clinton,20001086066,2020-02-25,M,PRIMXCELL,NA,0,0,TR,0.304,51.98,171,25,30,NA,126.45,2021-03-12,381,533
Clinton,77543,DNA600,WORKING,2020-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,107
Clinton,77846,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095015,2021-01-26,W,PRIMXCELL,NA,0,0,TR,0,4.48,112,18,10,NA,NA,2021-03-12,45,107
Clinton,77903,DNA600,WORKING,2020-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,107
Clinton,77926,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095653,2021-02-19,GS,NUTRIXCELL,0,16.2,16.24,US,0.346,37.36,108,NA,80,NA,NA,2021-03-12,21,107
Clinton,8015G,SPG240,WORKING,2020-08-26,NA,NA,92.43725340370554,Clinton,20001095667,2021-02-19,GS,NUTRIXCELL,NA,0,0,TR,0.001,0,5,24,0,NA,104.4,2021-03-12,21,198
Clinton,8030G,SPG240,WORKING,2020-08-26,NA,NA,107.18340703794118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,198
Clinton,946J6,SPG240,WORKING,2019-01-22,NA,NA,91.77179023376195,Clinton,20001095178,2021-02-01,W,NUTRIXCELL,0,36.7,36.75,US,0.525,84.52,161,NA,85,NA,125.19,2021-03-12,39,780
Clinton,9776B,SPG240,WORKING,2019-12-18,NA,NA,97.7749926432176,Clinton,20001094899,2021-01-21,O,PRIMXCELL,0,37.7,37.79,US,1.06,86.92,82,NA,85,NA,125.79,2021-03-12,50,450
Clinton,EX_25458,OTHER,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095046,2021-01-28,W,PRIMXCELL,NA,0,0,TR,0.595,54.74,92,25,50,NA,NA,2021-03-12,43,51
Clinton,EX_25898,OTHER,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095574,2021-02-16,W,PRIMXCELL,NA,0,0,TR,0.637,42.67,67,25,60,NA,NA,2021-03-12,24,51
Clinton,EX_26071,OTHER,WORKING,2021-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,51
High Desert,1354F,SPG120,NONWORKING,2020-05-22,NA,NA,82.1053790265406,High Desert,20001027848,2021-02-24,SA,10D 2B PCAI EG,0,42.5,42.5,US,0.136,85,625,NA,93.87,NA,83.38,2021-03-12,16,294
High Desert,1741H,SPG240,WORKING,2021-02-01,NA,NA,95.02169441957943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,39
High Desert,1760H,SPG240,WORKING,2021-02-01,NA,NA,94.24741767198692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,39
High Desert,1775H,SPG240,WORKING,2021-02-01,NA,NA,101.96303356208924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,39
High Desert,1790H,SPG240,WORKING,2021-02-01,NA,NA,97.97165840565748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,39
High Desert,2191N,SPG120,NONWORKING,2019-07-17,NA,NA,85.13213606723218,High Desert,20001027709,2021-02-18,JI,10D 2B PCAI EG,0,23.7,23.72,US,0,46.25,625,NA,96.47,NA,85.26,2021-03-12,22,604
High Desert,288H3,SPG120,NONWORKING,2018-09-23,NA,NA,91.21521807845271,High Desert,20001027849,2021-02-24,SA,10D 2B PCAI EG,0,47.4,47.48,US,0.169,94.97,562,NA,94.51,NA,91.92,2021-03-12,16,901
High Desert,3458N,SPG120,NONWORKING,2019-07-17,NA,NA,89.71394406375119,High Desert,20001027660,2021-02-16,SA,10D 2B PCAI EG,0,56.4,56.49,US,0.144,110.16,765,NA,86.13,NA,90.05,2021-03-12,24,604
High Desert,360H3,SPG120,NONWORKING,2018-09-23,NA,NA,86.45254622259924,High Desert,20001027712,2021-02-18,JI,10D 2B PCAI EG,0,44.4,44.49,US,0.109,86.76,796,NA,96.25,NA,86.82,2021-03-12,22,901
High Desert,3968U,SPG120,NONWORKING,2020-03-02,NA,NA,100.55553290881319,High Desert,20001027687,2021-02-17,SA,10D 2B PCAI EG,0,51.9,51.93,US,0.129,101.26,785,NA,97.81,NA,101.28,2021-03-12,23,375
High Desert,4376N,SPG120,NONWORKING,2019-07-17,NA,NA,89.0575865433943,High Desert,20001027710,2021-02-18,JI,10D 2B PCAI EG,0,27.7,27.88,US,0,54.37,625,NA,95.63,NA,90.24,2021-03-12,22,604
High Desert,4632N,SPG120,NONWORKING,2019-07-17,NA,NA,82.76644942839472,High Desert,20001027847,2021-02-24,SA,10D 2B PCAI EG,NA,0,0,TR,0.1,52,520,9,20.56,NA,82.73,2021-03-12,16,604
High Desert,665J4,SPG120,NONWORKING,2019-01-19,NA,NA,90.28773783392822,High Desert,20001027714,2021-02-18,JI,10D 2B PCAI EG,0,55,55.04,US,0.134,107.33,801,NA,85.96,NA,91.09,2021-03-12,22,783
High Desert,6772U,SPG120,NONWORKING,2020-03-02,NA,NA,101.27267846679534,High Desert,20001027677,2021-02-17,JI,10D 2B PCAI EG,0,45.4,45.46,US,0.119,88.65,745,NA,94.22,NA,101.78,2021-03-12,23,375
High Desert,9535P,SPG240,NONWORKING,2019-11-11,NA,NA,105.6915705738507,High Desert,20001027769,2021-02-22,JI,10D 2B PCAI EG,NA,0,0,TR,0.301,204.979,681,9,36.09,NA,106.44,2021-03-12,18,487
Ingold,4182E,SPG240,WORKING,2020-02-19,NA,NA,104.28714867190824,Ingold,20001063360,2021-02-19,AR,NUTRIXCELL,2591,39,39.03,US,0.775,109.27,141,NA,80,NA,126.44,2021-03-12,21,387
Ingold,EX_Z72430,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z72541,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z72631,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z72698,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z72715,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z72779,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z72809,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73178,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73462,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73482,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73501,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73508,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73529,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73531,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73551,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73584,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73667,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73683,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z73905,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z74011,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z74028,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z74148,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z74183,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z74267,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z74326,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z74360,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z74378,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z74398,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z74444,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
Ingold,EX_Z74512,OTHER,ISOLATION,2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-12,NA,37
