Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,Boar Stud.y,Collnum,Col_Date,Tech,Ext_Name,Tot_Ext_Vol,Used_Doses,Dose_Actual,Collection Status,Sperm_Conc,Tot_Sperm,Sem_Vol_Used,TRCODE,Motility,Ext_Batch_Num,EBV,Boar Stud,cutoff,train
Clinton,07041,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094655,2021-01-11,W,NUTRIXCELL,0,22.8,22.98,US,0.214,52.85,247,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07041,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094843,2021-01-18,O,PRIMXCELL,0,23,23.09,US,0.281,53.1,189,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07041,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094966,2021-01-25,W,NUTRIXCELL,0,20.3,20.43,US,0.254,46.99,185,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07041,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095156,2021-02-01,W,NUTRIXCELL,0,24.5,24.58,US,0.257,56.54,220,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07041,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095383,2021-02-08,G,NUTRIXCELL,0,20.2,20.35,US,0.249,46.81,188,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07041,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095549,2021-02-15,O,NUTRIXCELL,0,20,20.02,US,0.286,46.04,161,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07306,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095569,2021-02-16,O,PRIMXCELL,0,26.3,26.48,US,0.432,60.91,141,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07306,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095725,2021-02-22,GS,NUTRIXCELL,0,24.1,24.13,US,0.487,55.51,114,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07306,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095395,2021-02-09,S,PRIMXCELL,0,22.2,22.23,US,0.487,51.13,105,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07306,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095199,2021-02-02,W,PRIMXCELL,0,28.2,28.33,US,0.543,65.16,120,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07306,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094962,2021-01-25,W,NUTRIXCELL,0,25.1,25.13,US,0.578,57.8,100,NA,85,NA,NA,Clinton,2020-12-09,0
Clinton,07306,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094840,2021-01-18,O,PRIMXCELL,0,32.7,32.72,US,0.768,75.26,98,NA,85,NA,NA,Clinton,2020-12-09,0
Clinton,07306,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094632,2021-01-08,S,NUTRIXCELL,0,16.8,16.97,US,0.685,39.04,57,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07306,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094017,2020-12-15,W,PRIMXCELL,0,25.1,25.17,US,0.597,57.9,97,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07306,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094169,2020-12-21,G,PRIMXCELL,0,25.5,25.54,US,0.539,58.75,109,NA,85,NA,NA,Clinton,2020-12-09,0
Clinton,07393,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095013,2021-01-26,W,PRIMXCELL,0,11.3,11.37,US,0.171,26.16,153,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07393,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095202,2021-02-02,O,PRIMXCELL,0,25.7,25.82,US,0.303,59.38,196,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07393,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095391,2021-02-08,O,NUTRIXCELL,0,22.6,22.62,US,0.271,52.03,192,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07393,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095728,2021-02-22,O,NUTRIXCELL,0,33.2,33.36,US,0.436,76.73,176,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07393,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095555,2021-02-15,O,NUTRIXCELL,0,38.5,38.69,US,0.481,88.98,185,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07463,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095556,2021-02-15,O,NUTRIXCELL,0,25.5,25.5,US,0.493,58.66,119,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07463,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095389,2021-02-08,O,NUTRIXCELL,0,20.6,20.66,US,0.33,47.52,144,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07463,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095745,2021-02-23,O,PRIMXCELL,0,26.6,26.62,US,0.785,61.23,78,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07484,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095401,2021-02-09,S,PRIMXCELL,0,53.7,53.84,US,0.799,123.84,155,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07484,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095172,2021-02-01,W,NUTRIXCELL,0,38.7,38.81,US,0.565,89.27,158,NA,85,NA,NA,Clinton,2020-12-09,0
Clinton,07484,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094981,2021-01-25,W,NUTRIXCELL,0,34.7,34.89,US,0.704,80.25,114,NA,85,NA,NA,Clinton,2020-12-09,0
Clinton,07484,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094845,2021-01-18,G,PRIMXCELL,0,35.5,35.58,US,0.593,81.83,138,NA,85,NA,NA,Clinton,2020-12-09,0
Clinton,07484,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094673,2021-01-11,W,NUTRIXCELL,0,37.5,37.52,US,0.799,86.29,108,NA,85,NA,NA,Clinton,2020-12-09,0
Clinton,07484,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095726,2021-02-22,O,NUTRIXCELL,0,50,50.13,US,0.61,115.29,189,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07484,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094219,2020-12-23,W,PRIMXCELL,0,28.2,28.33,US,0.639,65.17,102,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07534,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094670,2021-01-11,W,NUTRIXCELL,0,19.6,19.68,US,0.552,45.26,82,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07534,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094841,2021-01-18,S,PRIMXCELL,0,24.7,24.8,US,0.839,57.05,68,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07534,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094978,2021-01-25,W,NUTRIXCELL,0,23.3,23.47,US,0.692,53.97,78,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07534,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095170,2021-02-01,W,NUTRIXCELL,0,21.1,21.1,US,0.665,48.54,73,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07534,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095400,2021-02-09,S,PRIMXCELL,0,28.1,28.12,US,0.761,64.68,85,NA,85,NA,NA,Clinton,2020-12-09,0
Clinton,07534,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095788,2021-02-25,GS,NUTRIXCELL,0,36.5,36.7,US,0.844,84.4,100,NA,85,NA,NA,Clinton,2020-12-09,0
Clinton,07580,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095390,2021-02-08,O,NUTRIXCELL,NA,0,0,TR,0.2,30,150,25,40,NA,NA,Clinton,2020-12-09,0
Clinton,07597,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095398,2021-02-09,S,PRIMXCELL,0,27.8,27.96,US,0.601,64.3,107,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,07597,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001094730,2021-01-14,W,PRIMXCELL,NA,0,0,TR,0.2,30.6,153,25,60,NA,NA,Clinton,2020-12-09,0
Clinton,07597,DNA600,WORKING,2020-11-25,NA,NA,NA,Clinton,20001095645,2021-02-19,GS,NUTRIXCELL,0,30.7,30.72,US,0.453,70.66,156,NA,80,NA,NA,Clinton,2020-12-09,0
Clinton,24707,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095222,2021-02-03,G,PRIMXCELL,0,32.2,32.39,US,0.536,74.5,139,NA,85,NA,NA,Clinton,2021-02-03,1
Clinton,24707,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095039,2021-01-26,G,PRIMXCELL,NA,0,0,TR,0.367,63.49,173,27,85,NA,NA,Clinton,2021-02-03,1
Clinton,24707,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095414,2021-02-11,G,PRIMXCELL,0,32,32.01,US,0.475,73.62,155,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,24707,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095605,2021-02-18,GS,NUTRIXCELL,0,36.5,36.63,US,0.453,84.25,186,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,24707,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095790,2021-02-25,GS,NUTRIXCELL,0,25.6,25.62,US,0.418,58.93,141,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,24928,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095034,2021-01-26,G,PRIMXCELL,NA,0,0,TR,0.242,15.24,63,27,85,NA,NA,Clinton,2021-02-03,1
Clinton,24928,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095219,2021-02-03,G,PRIMXCELL,0,23.8,23.91,US,0.705,54.99,78,NA,85,NA,NA,Clinton,2021-02-03,1
Clinton,24928,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095412,2021-02-11,S,PRIMXCELL,0,23.6,23.67,US,0.767,54.45,71,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,24930,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095223,2021-02-03,W,PRIMXCELL,0,17.2,17.2,US,0.542,39.56,73,NA,85,NA,NA,Clinton,2021-02-03,1
Clinton,24930,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095033,2021-01-26,W,PRIMXCELL,NA,0,0,TR,0.489,47.92,98,27,85,NA,NA,Clinton,2021-02-03,1
Clinton,24930,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095609,2021-02-18,O,NUTRIXCELL,0,16.8,16.97,US,0.574,39.03,68,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,24930,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095784,2021-02-25,O,NUTRIXCELL,0,19.8,19.92,US,0.402,45.82,114,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,24981,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095791,2021-02-25,S,NUTRIXCELL,0,22.5,22.53,US,0.33,51.81,157,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,24981,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095610,2021-02-18,T,NUTRIXCELL,0,18.7,18.81,US,0.42,43.26,103,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,24981,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095025,2021-01-26,W,PRIMXCELL,NA,0,0,TR,0.6,78,130,27,80,NA,NA,Clinton,2021-02-03,1
Clinton,24981,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095217,2021-02-03,W,PRIMXCELL,0,17.6,17.63,US,0.327,40.54,124,NA,85,NA,NA,Clinton,2021-02-03,1
Clinton,25054,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095783,2021-02-25,S,NUTRIXCELL,0,11,11.08,US,0.216,25.48,118,NA,70,NA,NA,Clinton,2021-02-03,0
Clinton,25054,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095224,2021-02-03,W,PRIMXCELL,0,15.8,15.93,US,0.374,36.65,98,NA,80,NA,NA,Clinton,2021-02-03,1
Clinton,25054,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095410,2021-02-11,G,PRIMXCELL,0,18.2,18.31,US,0.39,42.12,108,NA,80,NA,NA,Clinton,2021-02-03,0
Clinton,25054,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095036,2021-01-26,W,PRIMXCELL,NA,0,0,TR,0.371,48.23,130,27,80,NA,NA,Clinton,2021-02-03,1
Clinton,25054,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095602,2021-02-18,S,NUTRIXCELL,0,15.3,15.43,US,0.284,35.49,125,NA,80,NA,NA,Clinton,2021-02-03,0
Clinton,25057,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095604,2021-02-18,S,NUTRIXCELL,0,23.7,23.7,US,0.634,54.52,86,NA,80,NA,NA,Clinton,2021-02-03,0
Clinton,25057,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095030,2021-01-26,S,PRIMXCELL,NA,0,0,TR,0.588,71.14,121,27,80,NA,NA,Clinton,2021-02-03,1
Clinton,25057,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095411,2021-02-11,G,PRIMXCELL,0,34.7,34.78,US,0.597,79.99,134,NA,80,NA,NA,Clinton,2021-02-03,0
Clinton,25057,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095216,2021-02-03,O,PRIMXCELL,0,32.5,32.54,US,0.486,74.84,154,NA,80,NA,NA,Clinton,2021-02-03,1
Clinton,25057,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095786,2021-02-25,S,NUTRIXCELL,0,34.5,34.56,US,0.576,79.48,138,NA,80,NA,NA,Clinton,2021-02-03,0
Clinton,25064,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095221,2021-02-03,G,PRIMXCELL,0,29.6,29.68,US,0.676,68.27,101,NA,85,NA,NA,Clinton,2021-02-03,1
Clinton,25064,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095413,2021-02-11,S,PRIMXCELL,0,12.5,12.51,US,0.351,28.78,82,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,25064,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095037,2021-01-26,G,PRIMXCELL,NA,0,0,TR,0.476,48.55,102,27,80,NA,NA,Clinton,2021-02-03,1
Clinton,25064,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095606,2021-02-18,GS,NUTRIXCELL,0,22.7,22.83,US,0.59,52.51,89,NA,85,NA,NA,Clinton,2021-02-03,0
Clinton,25121,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095218,2021-02-03,W,PRIMXCELL,0,18.1,18.13,US,0.439,41.7,95,NA,85,NA,NA,Clinton,2021-02-03,1
Clinton,25121,PICL02,WORKING,2021-01-20,NA,NA,NA,Clinton,20001095029,2021-01-26,W,PRIMXCELL,NA,0,0,TR,0.539,53.9,100,27,80,NA,NA,Clinton,2021-02-03,1
