Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,Boar Stud.y,Collnum,Col_Date,Tech,Ext_Name,Tot_Ext_Vol,Used_Doses,Dose_Actual,Collection Status,Sperm_Conc,Tot_Sperm,Sem_Vol_Used,TRCODE,Motility,Ext_Batch_Num,EBV,Boar Stud
MB 7081,2106528,SPG240,WORKING,2024-02-05,NA,NA,102.8815868955481,MB 7081,20001170866,2024-02-09,AC,5D 2B PCAI PX,1614,46,46.1,US,0.2,92.2,461,NA,85,607_17_747,105.2,MB 7081
MB 7081,2106528,SPG240,WORKING,2024-02-05,NA,NA,102.8815868955481,MB 7081,20001171405,2024-02-28,AC,5D 2B PCAI PX,1844,52.7,52.7,US,0.2,105.4,527,NA,85,607_17_747,104.69,MB 7081
MB 7081,2106528,SPG240,WORKING,2024-02-05,NA,NA,102.8815868955481,MB 7081,20001171238,2024-02-23,AE,5D 2B PCAI PX,1799,51,51.04,US,0.205,102.08,498,NA,85,607_17_747,104.79,MB 7081
MB 7081,2106528,SPG240,WORKING,2024-02-05,NA,NA,102.8815868955481,MB 7081,20001171846,2024-03-15,AC,5D 2B PCAI PX,1203,35,35.06,US,0.187,70.12,375,NA,85,607_17_747,103.83,MB 7081
MB 7081,2106528,SPG240,WORKING,2024-02-05,NA,NA,102.8815868955481,MB 7081,20001171635,2024-03-08,PM,5D 2B PCAI PX,1717,47.4,47.44,US,0.227,94.88,418,NA,85,607_17_747,104.19,MB 7081
MB 7081,2106528,SPG240,WORKING,2024-02-05,NA,NA,102.8815868955481,MB 7081,20001172973,2024-04-26,DW,5D 2B PCAI PX,469,18.7,18.75,US,0.1,37.5,375,NA,85,607_17_747,102.88,MB 7081
MB 7081,2106528,SPG240,WORKING,2024-02-05,NA,NA,102.8815868955481,MB 7081,20001172607,2024-04-12,AC,5D 2B PCAI PX,700,20,20,US,0.2,40,200,NA,85,607_17_747,103.26,MB 7081
MB 7081,2106528,SPG240,WORKING,2024-02-05,NA,NA,102.8815868955481,MB 7081,20001172776,2024-04-19,AE,5D 2B PCAI PX,NA,0,0,TR,0.2,40,200,27,85,607_17_747,102.97,MB 7081
MB 7081,2106528,SPG240,WORKING,2024-02-05,NA,NA,102.8815868955481,MB 7081,20001172255,2024-03-30,PM,5D 3B TRAD PX,733,13.3,13.33,US,0.2,40,200,NA,85,607_17_747,103.02,MB 7081
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001172831,2024-04-22,AE,5D 2B PCAI PX,1122,33.4,33.49,US,0.174,66.98,385,NA,85,607_17_747,112.709,MB 7081
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001172639,2024-04-15,AE,5D 2B PCAI PX,804,26,26.08,US,0.141,52.16,370,NA,85,607_17_747,112.76,MB 7081
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001172375,2024-04-05,PM,5D 2B PCAI PX,1866,53.2,53.3,US,0.2,106.599,533,NA,85,607_17_747,112.37,MB 7081
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001172564,2024-04-12,AE,5D 2B PCAI PX,891,27.8,27.92,US,0.153,55.84,365,NA,85,607_17_747,112.5,MB 7081
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001171709,2024-03-11,AE,5D 2B PCAI PX,501,18,18.04,US,0.116,36.07,311,NA,85,607_17_747,112.84,MB 7081
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001171912,2024-03-18,WP,5D 2B PCAI PX,908,30.8,30.91,US,0.128,61.82,483,NA,85,607_17_747,112.569,MB 7081
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001172086,2024-03-25,WP,5D 2B PCAI PX,703,24.2,24.25,US,0.125,48.5,388,NA,85,607_17_747,112.76,MB 7081
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001171137,2024-02-19,WP,5D 2B PCAI PX,1142,33.7,33.82,US,0.178,67.64,380,NA,85,607_17_747,114.2,MB 7081
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001170972,2024-02-12,WP,5D 2B PCAI PX,1272,39,39.04,US,0.161,78.08,485,NA,85,607_17_747,114.97,MB 7081
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001171339,2024-02-26,AE,5D 2B PCAI PX,703,24.2,24.25,US,0.125,48.5,388,NA,85,607_17_747,113.959,MB 7081
MB 7081,2106537,SPG240,WORKING,2024-02-05,NA,NA,112.70639337582318,MB 7081,20001171525,2024-03-04,AE,5D 2B PCAI PX,1139,35.5,35.57,US,0.154,71.14,462,NA,85,607_17_747,113.19,MB 7081
