Boar Stud,Average Inventory
Clinton,210.92307692307693
GCM23-4,237.6153846153846
High Desert,206.23076923076923
Ingold,176.30769230769232
MB 7081,217.76923076923077
MB 7082,196.15384615384616
MB 7092,384.6923076923077
MB 7093,411.61538461538464
MB 7094,397.38461538461536
MBW Cimarron,215
MBW Cyclone,236.23076923076923
MBW Yuma,170.84615384615384
Norson,236.53846153846155
Prestage MS,230.23076923076923
Princeton,303.53846153846155
Skyline Boar Stud,234.76923076923077
SPGNC,207.07692307692307
SPGTX,116.07692307692308
SPGVA,232.6153846153846
