Boar Stud,BatchID,Number of Boars,Date_Shipped,Breed
MB 7082,2240422192,7,2024-04-22,SPG240
MB 7082,2240422193,7,2024-04-22,SPG240
MB 7082,2240422194,7,2024-04-22,SPG240
MB 7082,2240424205,7,2024-04-24,SPG240
MB 7082,2240426217,7,2024-04-26,SPG240
MB 7082,2240426218,7,2024-04-26,SPG240
MB 7093,2240422518,9,2024-04-22,SPG240
MB 7093,2240422519,9,2024-04-22,SPG240
MB 7093,2240422520,7,2024-04-22,SPG240
MB 7093,2240422521,8,2024-04-22,SPG240
MB 7093,2240422522,8,2024-04-22,SPG240
MB 7093,2240423523,10,2024-04-23,SPG240
MB 7093,2240423524,9,2024-04-23,SPG240
MB 7093,2240423525,9,2024-04-23,SPG240
MB 7093,2240423526,9,2024-04-23,SPG240
MB 7093,2240424532,7,2024-04-24,SPG240
MB 7093,2240424533,7,2024-04-24,SPG240
MB 7093,2240424534,7,2024-04-24,SPG240
MB 7093,2240424535,9,2024-04-24,SPG240
MB 7093,2240425536,9,2024-04-25,SPG240
MB 7093,2240425537,7,2024-04-25,SPG240
MB 7093,2240425538,11,2024-04-25,SPG240
MB 7093,2240425539,9,2024-04-25,SPG240
MB 7093,2240425540,8,2024-04-25,SPG240
MB 7093,2240425541,7,2024-04-25,SPG240
MB 7093,2240425542,8,2024-04-25,SPG240
MB 7093,2240425543,10,2024-04-25,SPG240
MB 7093,2240425544,7,2024-04-25,SPG240
MB 7093,2240425545,8,2024-04-25,SPG240
MB 7093,2240425546,7,2024-04-25,SPG240
MB 7093,2240425547,8,2024-04-25,SPG240
MB 7093,2240426548,7,2024-04-26,SPG240
MB 7093,2240426550,7,2024-04-26,SPG240
MB 7093,2240426551,8,2024-04-26,SPG240
MB 7093,2240426552,8,2024-04-26,SPG240
MB 7093,2240426553,7,2024-04-26,SPG240
MB 7093,2240426554,7,2024-04-26,SPG240
MB 7093,2240428559,8,2024-04-28,SPG240
MB 7094,2240422781,8,2024-04-22,SPG240
MB 7094,2240422782,8,2024-04-22,SPG240
MB 7094,2240422783,8,2024-04-22,SPG240
MB 7094,2240422784,8,2024-04-22,SPG240
MB 7094,2240423786,9,2024-04-23,SPG240
MB 7094,2240423787,10,2024-04-23,SPG240
MB 7094,2240423788,10,2024-04-23,SPG240
MB 7094,2240423789,7,2024-04-23,SPG240
MB 7094,2240423791,9,2024-04-23,SPG240
MB 7094,2240424792,11,2024-04-24,SPG240
MB 7094,2240424793,7,2024-04-24,SPG240
MB 7094,2240424794,8,2024-04-24,SPG240
MB 7094,2240425795,9,2024-04-25,SPG240
MB 7094,2240425796,9,2024-04-25,SPG240
MB 7094,2240425797,7,2024-04-25,SPG240
MB 7094,2240425798,9,2024-04-25,SPG240
MB 7094,2240425800,9,2024-04-25,SPG240
MB 7094,2240425801,9,2024-04-25,SPG240
MB 7094,2240425802,9,2024-04-25,SPG240
MB 7094,2240425803,8,2024-04-25,SPG240
MB 7094,2240426812,9,2024-04-26,SPG240
MB 7094,2240426813,9,2024-04-26,SPG240
MB 7094,2240426814,8,2024-04-26,SPG240
MB 7094,2240426815,7,2024-04-26,SPG240
MB 7094,2240426816,8,2024-04-26,SPG240
MB 7094,2240426817,9,2024-04-26,SPG240
MB 7094,2240426818,7,2024-04-26,SPG240
SPGNC,2240422876,2,2024-04-22,SPG110
