Boar Stud,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,rank,rankp
MB 7081,64289,PICL02,WORKING,2023-05-02,NA,NA,107,3,0.015873015873015872
MB 7081,64292,PICL03,WORKING,2023-05-02,NA,NA,119,1,0.024390243902439025
MB 7081,64319,PICL03,WORKING,2022-05-16,NA,NA,123,3,0.07317073170731707
MB 7081,64326,PICL03,WORKING,2022-07-25,NA,NA,123,4,0.0975609756097561
MB 7081,64360,PICL02,WORKING,2022-10-04,NA,NA,107,4,0.021164021164021163
MB 7081,64366,PICL02,WORKING,2022-10-04,NA,NA,113,12,0.06349206349206349
MB 7081,64383,PICL02,WORKING,2023-07-11,NA,NA,114,16,0.08465608465608465
MB 7081,64387,PICL02,WORKING,2023-07-11,NA,NA,109,7,0.037037037037037035
MB 7081,64410,PICL03,WORKING,2023-09-18,NA,NA,120,2,0.04878048780487805
MB 7082,2045808,SPG240,WORKING,2022-03-28,NA,NA,85.94471439772786,88,0.0333965844402277
MB 7082,2047729,SPG240,WORKING,2022-08-15,NA,NA,82.27489067215159,37,0.014041745730550285
MB 7082,2047767,SPG240,WORKING,2022-08-15,NA,NA,85.5084928245059,78,0.029601518026565465
MB 7082,2050392,SPG240,WORKING,2022-06-06,NA,NA,82.98253388015144,46,0.0174573055028463
MB 7082,2050608,SPG240,WORKING,2022-06-06,NA,NA,83.52926891276886,55,0.020872865275142316
MB 7082,2058171,SPG240,WORKING,2022-10-24,NA,NA,89.82278837144746,214,0.08121442125237191
MB 7082,2058308,SPG240,WORKING,2022-10-24,NA,NA,82.6281356721724,41,0.01555977229601518
MB 7082,2066269,SPG240,WORKING,2023-01-02,NA,NA,90.53168208281286,237,0.08994307400379507
MB 7082,2066353,SPG240,WORKING,2023-01-02,NA,NA,89.77473302233618,211,0.08007590132827325
MB 7082,2068052,SPG240,WORKING,2023-03-13,NA,NA,90.95081085120057,248,0.09411764705882353
MB 7082,2068127,SPG240,WORKING,2023-03-13,NA,NA,83.11134198385753,47,0.017836812144212524
MB 7082,2079836,SPG240,WORKING,2023-05-22,NA,NA,84.62815013933827,63,0.023908918406072108
MB 7082,2088990,SPG240,WORKING,2023-10-09,NA,NA,87.0160932329219,117,0.0444022770398482
MB 7082,70379,PICL02,WORKING,2022-11-28,NA,NA,113,13,0.06878306878306878
MB 7082,70398,PICL02,WORKING,2023-02-06,NA,NA,108,6,0.031746031746031744
MB 7082,70400,PICL02,WORKING,2023-02-06,NA,NA,109,8,0.042328042328042326
MB 7082,70402,PICL02,WORKING,2023-02-06,NA,NA,107,5,0.026455026455026454
MB 7082,70404,PICL02,WORKING,2023-02-06,NA,NA,112,10,0.05291005291005291
MB 7082,70405,PICL02,WORKING,2023-02-06,NA,NA,109,9,0.047619047619047616
MB 7092,2010554,SPG240,WORKING,2022-06-13,NA,NA,87.13484556461667,121,0.045920303605313094
MB 7092,2027829,SPG240,WORKING,2022-02-18,NA,NA,86.61103266116179,107,0.040607210626185955
MB 7092,2030845,SPG240,WORKING,2021-09-24,NA,NA,86.5275162409366,106,0.040227703984819736
MB 7092,2032238,SPG240,WORKING,2022-04-15,NA,NA,90.7160561501681,243,0.09222011385199241
MB 7092,2034676,SPG240,WORKING,2021-10-23,NA,NA,89.16425451706749,190,0.07210626185958255
MB 7092,2050250,SPG240,WORKING,2022-04-15,NA,NA,90.20350762721553,225,0.08538899430740038
