Boar Stud,BoarID.x,Breed.x.x,Boar Status.x,Col_Date.x,Collected.x,Collection Status.x,Distributed.x,Index.x,Included.x,Needed,Actual
MBW Cimarron,16274,DNA200,WORKING,NA,NO,NA,NO,116,YES,9,NA
MBW Cimarron,16275,DNA200,WORKING,2024-04-25,YES,US,YES,113,YES,9,1
MBW Cimarron,16271,DNA200,WORKING,2024-04-25,YES,TR,NO,112,YES,9,1
MBW Cimarron,16272,DNA200,WORKING,2024-04-25,YES,TR,NO,112,YES,9,1
MBW Cimarron,16189,DNA200,WORKING,2024-04-25,YES,US,YES,105,YES,9,1
MBW Cimarron,16213,DNA200,WORKING,2024-04-25,YES,US,YES,105,YES,9,1
MBW Cimarron,16192,DNA200,NONWORKING,NA,NO,NA,NO,104,NO,9,NA
MBW Cimarron,16194,DNA200,WORKING,2024-04-25,YES,US,YES,102,YES,9,1
MBW Cimarron,16215,DNA200,WORKING,2024-04-25,YES,US,YES,102,YES,9,1
MBW Cimarron,16193,DNA200,WORKING,2024-04-25,YES,US,YES,101,YES,9,1
MBW Cimarron,16195,DNA200,WORKING,2024-04-25,YES,US,YES,98,YES,9,1
MBW Cimarron,16190,DNA200,WORKING,2024-04-28,YES,US,NO,97,YES,9,NA
MBW Cimarron,16120,DNA200,WORKING,2024-04-28,YES,US,NO,96,YES,9,NA
MBW Cimarron,16122,DNA200,WORKING,2024-04-28,YES,US,NO,94,YES,9,NA
MBW Cyclone,10195,DNA400,WORKING,2024-04-26,YES,US,YES,112,YES,37,1
MBW Cyclone,10215,DNA400,WORKING,2024-04-22,YES,US,YES,112,YES,37,1
MBW Cyclone,10216,DNA400,WORKING,2024-04-22,YES,US,YES,112,YES,37,1
MBW Cyclone,10186,DNA400,WORKING,2024-04-26,YES,US,YES,109,YES,37,1
MBW Cyclone,10211,DNA400,WORKING,2024-04-22,YES,US,YES,108,YES,37,1
MBW Cyclone,10193,DNA400,WORKING,2024-04-24,YES,US,YES,107,YES,37,1
MBW Cyclone,10205,DNA400,WORKING,2024-04-22,YES,US,YES,107,YES,37,1
MBW Cyclone,10208,DNA400,WORKING,2024-04-24,YES,US,YES,107,YES,37,1
MBW Cyclone,10222,DNA400,WORKING,2024-04-22,YES,US,YES,106,YES,37,1
MBW Cyclone,10200,DNA400,WORKING,2024-04-22,YES,US,YES,105,YES,37,1
MBW Cyclone,10194,DNA400,WORKING,2024-04-25,YES,US,YES,104,YES,37,1
MBW Cyclone,10199,DNA400,WORKING,2024-04-25,YES,US,YES,104,YES,37,1
MBW Cyclone,10201,DNA400,WORKING,2024-04-24,YES,US,YES,104,YES,37,1
MBW Cyclone,10214,DNA400,WORKING,2024-04-22,YES,US,YES,104,YES,37,1
MBW Cimarron,16200,DNA400,WORKING,2024-04-22,YES,US,YES,103,YES,6,1
MBW Cimarron,16267,DNA400,WORKING,2024-04-22,YES,TR,NO,103,YES,6,1
MBW Cyclone,10204,DNA400,WORKING,2024-04-24,YES,US,YES,102,YES,37,1
MBW Cimarron,16269,DNA400,WORKING,2024-04-22,YES,TR,NO,102,YES,6,1
MBW Cyclone,10218,DNA400,WORKING,2024-04-24,YES,US,YES,101,YES,37,1
MBW Cimarron,16208,DNA400,WORKING,2024-04-22,YES,US,YES,101,YES,6,1
MBW Cimarron,16209,DNA400,WORKING,2024-04-22,YES,US,YES,101,YES,6,1
Skyline Boar Stud,28006,DNA400,WORKING,2024-04-22,YES,US,YES,101,YES,10,1
MBW Cyclone,10184,DNA400,WORKING,2024-04-26,YES,US,YES,100,YES,37,1
MBW Cyclone,10189,DNA400,WORKING,2024-04-26,YES,TR,NO,100,YES,37,1
MBW Cyclone,10196,DNA400,WORKING,2024-04-26,YES,US,YES,100,YES,37,1
MBW Cyclone,10198,DNA400,WORKING,2024-04-24,YES,US,YES,100,YES,37,1
MBW Cyclone,10203,DNA400,WORKING,2024-04-22,YES,US,YES,100,YES,37,1
MBW Cyclone,10210,DNA400,WORKING,2024-04-22,YES,US,YES,100,YES,37,1
MBW Cyclone,10221,DNA400,WORKING,2024-04-22,YES,US,YES,100,YES,37,1
MBW Cimarron,16204,DNA400,WORKING,2024-04-22,YES,US,YES,100,YES,6,1
MBW Cimarron,16211,DNA400,WORKING,2024-04-22,YES,US,NO,100,YES,6,NA
MBW Cyclone,10207,DNA400,WORKING,2024-04-24,YES,US,YES,99,YES,37,1
MBW Cyclone,10202,DNA400,WORKING,2024-04-22,YES,US,YES,98,YES,37,1
MBW Cyclone,10212,DNA400,WORKING,2024-04-24,YES,US,YES,98,YES,37,1
MBW Cimarron,16202,DNA400,NONWORKING,2024-04-23,YES,TR,NO,98,NO,6,NA
MBW Cimarron,16268,DNA400,WORKING,2024-04-22,YES,TR,NO,98,YES,6,0
MBW Cimarron,16270,DNA400,WORKING,2024-04-22,YES,TR,NO,98,YES,6,0
MBW Cyclone,10185,DNA400,WORKING,2024-04-24,YES,US,YES,97,YES,37,1
