Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
MB 7081,64293,PICL02,WORKING,20001172849,2024-04-22,YES,US,YES,163
MB 7081,64461,PICL02,WORKING,20001172854,2024-04-22,YES,US,YES,154
MB 7081,64396,PICL02,WORKING,20001172852,2024-04-22,YES,US,YES,150
MB 7081,64402,PICL02,WORKING,20001172859,2024-04-22,YES,TR,NO,149
MB 7081,64454,PICL02,WORKING,20001172853,2024-04-22,YES,US,YES,149
MB 7081,64462,PICL02,WORKING,20001172860,2024-04-22,YES,TR,NO,148
MB 7081,64397,PICL02,WORKING,20001172851,2024-04-22,YES,US,YES,147
MB 7081,64377,PICL02,WORKING,20001172850,2024-04-22,YES,US,YES,146
MB 7081,64463,PICL02,WORKING,20001172975,2024-04-26,YES,US,YES,146
MB 7081,64378,PICL02,WORKING,20001172857,2024-04-22,YES,US,YES,145
MB 7081,64409,PICL02,WORKING,20001172976,2024-04-26,YES,US,YES,144
MB 7081,64370,PICL02,WORKING,20001172855,2024-04-22,YES,US,YES,143
MB 7081,64398,PICL02,WORKING,20001172861,2024-04-22,YES,US,YES,143
MB 7081,64362,PICL02,WORKING,20001172858,2024-04-22,YES,US,YES,139
MB 7081,64363,PICL02,WORKING,20001172977,2024-04-26,YES,US,YES,139
MB 7081,64455,PICL02,WORKING,20001172862,2024-04-22,YES,US,YES,139
MB 7081,64457,PICL02,WORKING,20001172856,2024-04-22,YES,US,YES,139
MB 7081,64061,PICL02,WORKING,20001172978,2024-04-26,YES,US,YES,137
MB 7081,64212,PICL02,WORKING,20001172897,2024-04-24,YES,US,YES,137
MB 7081,64361,PICL02,WORKING,20001172896,2024-04-24,YES,US,YES,137
MB 7081,64367,PICL02,WORKING,20001172900,2024-04-24,YES,US,YES,137
MB 7081,64401,PICL02,WORKING,20001172895,2024-04-24,YES,US,YES,137
MB 7081,64062,PICL02,WORKING,20001172898,2024-04-24,YES,US,YES,136
MB 7081,64376,PICL02,WORKING,20001172893,2024-04-24,YES,US,YES,136
