Boar Stud,Possible Readings,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
High Desert,5,5.5,7.6,7.6,7.6,7.6,NA,NA
MB 7081,3,NA,NA,NA,NA,NA,NA,NA
MB 7082,5,8,8,8.1,NA,8.1,NA,8.1
MB 7092,6,8.8,8.8,8.5,8.6,8.6,NA,8.5
MB 7093,6,6.6,6.6,6.6,6.8,6.8,NA,6.8
MB 7094,6,7.3,7.5,7.1,7.1,7.4,NA,7.4
MBW Cimarron,6,9.4,9,NA,8.8,8.8,8.8,8.8
MBW Cyclone,4,NA,NA,NA,NA,NA,NA,NA
MBW Yuma,5,8.574358974358974,8.8,NA,8.602325581395348,7.785106382978723,8.7,NA
Princeton,7,7.6,7.6,7.4,7.5,7.4,7.7,7.4
Skyline Boar Stud,6,7,7,NA,7,6.9,7.1,7.3
SPGNC,5,NA,NA,NA,NA,NA,NA,NA
SPGVA,4,5.7,5.6,NA,5.6,NA,NA,5.9
