Boar Stud.x,Breed.x,a,b,sperm
Clinton,DNA600,2181.028,0,2181.028
Clinton,OTHER,97.41,0,97.41
Clinton,PICL02,150.86,446.92,597.78
Clinton,SPG240,5002.057,887.088,5889.1449999999995
GCM23-4,OTHER,858.469,194.34,1052.809
GCM23-4,SPG240,1311.659,383.69,1695.3490000000002
High Desert,DNA400,84.63,0,84.63
High Desert,SPG120,2481.639,234.57,2716.2090000000003
High Desert,SPG240,2293.948,0,2293.948
Ingold,OTHER,504.79,0,504.79
Ingold,SPG240,6958.992,0,6958.992
MB 7081,PICL02,949.819,0,949.819
MB 7081,PICL03,142.5,313.34000000000003,455.84000000000003
MB 7081,SPG240,458.94,40,498.94
MB 7082,PICL02,654.149,0,654.149
MB 7082,PICL03,111.65,575.63,687.28
MB 7082,SPG240,143.99,509.71999999999997,653.71
MB 7092,SPG240,2940.377,1019.677,3960.054
MB 7093,SPG240,2780.228,2927.177,5707.405000000001
MB 7094,SPG240,1366.3600000000001,6795.871,8162.231
MBW Cyclone,DNA400,46.66,0,46.66
MBW Cyclone,SPG240,33.27,2623.408,2656.678
MBW Yuma,DNA200,61.06,0,61.06
MBW Yuma,DNA400,48.76,385.54,434.3
MBW Yuma,DNA600,408.84000000000003,0,408.84000000000003
MBW Yuma,SPG240,108.54,796.11,904.65
Norson,DNA200,54.67,27.2,81.87
Norson,DNA400,238,312.6,550.6
Norson,OTHER,1601.227,102.7,1703.9270000000001
Norson,SPG110,445.77,360.33,806.0999999999999
Norson,SPG120,834.44,523.74,1358.18
Norson,SPG210,100.8,86.8,187.6
Norson,SPG240,2649.016,713.6,3362.616
Prestage MS,OTHER,35.5,316.26,351.76
Prestage MS,SPG120,1849.019,295.83000000000004,2144.849
Princeton,SPG240,246.30900000000003,3561.274,3807.583
Skyline Boar Stud,SPG240,2523.66,0,2523.66
SPGNC,SPG110,224.49,1522.49,1746.98
SPGNC,SPG120,82.72,1765.63,1848.3500000000001
SPGNC,SPG240,321.619,2627.308,2948.927
SPGTX,SPG110,1183,0,1183
SPGTX,SPG120,820.56,0,820.56
SPGTX,SPG240,893.938,74.41,968.348
SPGVA,PICL02,1351.04,107.16,1458.2
SPGVA,SPG110,292.84,940.04,1232.8799999999999
SPGVA,SPG120,180.53,248.76999999999998,429.29999999999995
SPGVA,SPG240,394.529,1210.089,1604.618
MBW Cimarron,DNA200,0,1366.308,1366.308
MBW Cimarron,DNA400,0,1362.109,1362.109
MBW Cimarron,SPG110,0,165.59,165.59
MBW Cimarron,SPG120,0,243.51999999999998,243.51999999999998
MBW Cimarron,SPG240,0,3453.526,3453.526
Norson,SPG130,0,46.8,46.8
Norson,SPG270,0,83.7,83.7
