Boar Stud,Boars Culled,Low Index Culls,WeekCommencing
Clinton,19,4,5/12/2019
Clinton,29,0,6/23/2019
Clinton,39,10,7/28/2019
Clinton,17,3,8/25/2019
Clinton,21,4,9/15/2019
GCM7-4,3,0,5/12/2019
GCM7-4,2,0,6/9/2019
GCM7-4,2,0,6/16/2019
GCM7-4,2,0,6/30/2019
GCM7-4,4,0,7/7/2019
GCM7-4,1,0,7/28/2019
GCM7-4,1,0,8/11/2019
GCM7-4,30,23,9/1/2019
High Desert,20,14,6/2/2019
High Desert,2,0,9/8/2019
High Desert,1,1,9/15/2019
Ingold,20,12,6/30/2019
Ingold,29,9,8/25/2019
MB 7081,20,10,6/30/2019
MB 7081,21,13,8/11/2019
MB 7081,20,5,9/15/2019
MB 7082,19,4,5/12/2019
MB 7082,22,2,6/16/2019
MB 7082,17,8,7/21/2019
MB 7082,29,15,8/25/2019
MB 7092,34,17,7/7/2019
MB 7092,40,24,8/18/2019
MB 7092,40,20,9/8/2019
MB 7093,33,10,6/16/2019
MB 7093,46,28,8/11/2019
MB 7094,35,8,7/28/2019
MB 7094,30,20,8/25/2019
MBW Cimarron,2,1,6/9/2019
MBW Cimarron,2,0,7/14/2019
MBW Cimarron,20,17,7/21/2019
MBW Cimarron,2,1,7/28/2019
MBW Cimarron,3,2,8/18/2019
MBW Cimarron,2,2,9/1/2019
MBW Cimarron,30,22,9/8/2019
MBW Cyclone,4,1,5/19/2019
MBW Cyclone,1,1,6/9/2019
MBW Cyclone,1,0,6/23/2019
MBW Cyclone,1,1,6/30/2019
MBW Cyclone,1,0,7/7/2019
MBW Cyclone,1,0,7/21/2019
MBW Cyclone,1,0,7/28/2019
MBW Cyclone,3,1,8/11/2019
MBW Cyclone,2,1,8/18/2019
MBW Cyclone,3,0,8/25/2019
MBW Cyclone,1,0,9/8/2019
MBW Cyclone,8,1,9/15/2019
MBW Illinois,5,5,5/12/2019
MBW Illinois,4,4,5/19/2019
MBW Illinois,6,5,6/9/2019
MBW Illinois,2,1,7/7/2019
MBW Illinois,2,2,7/21/2019
MBW Illinois,4,1,8/11/2019
MBW Illinois,1,0,8/18/2019
MBW Illinois,5,4,9/1/2019
MBW Illinois,12,7,9/8/2019
MBW Illinois,5,2,9/15/2019
MBW Yuma,3,0,6/9/2019
MBW Yuma,12,9,6/23/2019
MBW Yuma,6,0,7/7/2019
