Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,rank,ranksum,Percentile,key,Boar Stud.y,ID,DESCR,WeekCommencing
Norson,EX_JJ3097,OTHER,CULLED,6/19/2006,NA,NA,NA,NA,NA,NA,Norson NA,NA,NA,NA,2022-01-02
High Desert,1609G,SPG240,CULLED,11/9/2020,1/5/2022,22,90.7999186,128,136,0.941176471,High Desert 22,High Desert,22,LOW INDEX,2022-01-02
High Desert,1810G,SPG240,CULLED,11/9/2020,1/5/2022,22,93.82533251,112,136,0.823529412,High Desert 22,High Desert,22,LOW INDEX,2022-01-02
MBW Cimarron,2037354,SPG240,CULLED,11/29/2021,1/4/2022,38,110.9874415,47,286,0.164335664,MBW Cimarron 38,MBW Cimarron,38,WILL NOT TRAIN,2022-01-02
MBW Cimarron,6517F,SPG240,CULLED,7/13/2020,1/4/2022,44,94.80604865,267,286,0.933566434,MBW Cimarron 44,MBW Cimarron,44,LOW INDEX,2022-01-02
MBW Yuma,40139,DNA200,CULLED,10/6/2021,1/3/2022,48,107,7,15,0.466666667,MBW Yuma 48,MBW Yuma,48,SEMEN QUALITY,2022-01-02
MBW Yuma,4315T,SPG240,CULLED,12/22/2019,1/5/2022,48,103.6352776,20,75,0.266666667,MBW Yuma 48,MBW Yuma,48,SEMEN QUALITY,2022-01-02
Norson,EX_JJ3097,OTHER,CULLED,6/19/2006,NA,NA,NA,NA,NA,NA,Norson NA,NA,NA,NA,2022-01-09
High Desert,2971P,SPG240,CULLED,8/20/2019,1/13/2022,22,89.31950537,159,165,0.963636364,High Desert 22,High Desert,22,LOW INDEX,2022-01-09
High Desert,34017,DNA400,CULLED,9/14/2020,1/13/2022,22,76,49,49,1,High Desert 22,High Desert,22,LOW INDEX,2022-01-09
High Desert,34022,DNA400,CULLED,9/14/2020,1/13/2022,22,77,48,49,0.979591837,High Desert 22,High Desert,22,LOW INDEX,2022-01-09
High Desert,34042,DNA400,CULLED,4/6/2021,1/13/2022,22,85,43,49,0.87755102,High Desert 22,High Desert,22,LOW INDEX,2022-01-09
High Desert,34079,DNA990,CULLED,11/8/2021,1/12/2022,20,NA,NA,NA,NA,High Desert 20,High Desert,20,WILL NOT TRAIN,2022-01-09
High Desert,556T0,SPG240,CULLED,8/10/2017,1/13/2022,22,83.84274195,165,165,1,High Desert 22,High Desert,22,LOW INDEX,2022-01-09
High Desert,6746R,SPG240,CULLED,11/11/2019,1/13/2022,22,86.2797581,163,165,0.987878788,High Desert 22,High Desert,22,LOW INDEX,2022-01-09
High Desert,711N3,SPG240,CULLED,3/28/2017,1/13/2022,22,85.11431659,164,165,0.993939394,High Desert 22,High Desert,22,LOW INDEX,2022-01-09
High Desert,8693U,SPG240,CULLED,3/2/2020,1/13/2022,22,87.06770025,161,165,0.975757576,High Desert 22,High Desert,22,LOW INDEX,2022-01-09
MBW Yuma,40001,DNA400,CULLED,9/2/2020,1/14/2022,57,93,19,34,0.558823529,MBW Yuma 57,MBW Yuma,57,LOW INDEX,2022-01-09
SPGVA,2000059,SPG240,CULLED,6/22/2021,1/10/2022,44,111.9953435,49,124,0.39516129,SPGVA 44,SPGVA,44,FEET AND LEGS,2022-01-09
SPGVA,2000622,SPG240,CULLED,6/22/2021,1/10/2022,46,108.4078814,64,124,0.516129032,SPGVA 46,SPGVA,46,SEMEN QUALITY,2022-01-09
SPGVA,2005856,SPG240,CULLED,6/22/2021,1/10/2022,46,107.7773115,65,124,0.524193548,SPGVA 46,SPGVA,46,SEMEN QUALITY,2022-01-09
SPGVA,2005997,SPG240,CULLED,6/22/2021,1/10/2022,44,94.53678274,93,124,0.75,SPGVA 44,SPGVA,44,FEET AND LEGS,2022-01-09
SPGVA,2006169,SPG240,CULLED,6/22/2021,1/10/2022,46,98.57862286,82,124,0.661290323,SPGVA 46,SPGVA,46,SEMEN QUALITY,2022-01-09
SPGVA,2006453,SPG240,CULLED,7/19/2021,1/10/2022,46,107.1789942,66,124,0.532258065,SPGVA 46,SPGVA,46,SEMEN QUALITY,2022-01-09
SPGVA,2014812,SPG240,CULLED,9/27/2021,1/10/2022,46,118.1373031,24,124,0.193548387,SPGVA 46,SPGVA,46,SEMEN QUALITY,2022-01-09
SPGVA,2018921,SPG240,CULLED,11/3/2021,1/10/2022,46,85.46657396,114,124,0.919354839,SPGVA 46,SPGVA,46,SEMEN QUALITY,2022-01-09
SPGVA,2019231,SPG240,CULLED,11/3/2021,1/10/2022,46,104.750972,71,124,0.572580645,SPGVA 46,SPGVA,46,SEMEN QUALITY,2022-01-09
SPGVA,2019299,SPG240,CULLED,11/3/2021,1/10/2022,46,85.49134658,113,124,0.911290323,SPGVA 46,SPGVA,46,SEMEN QUALITY,2022-01-09
SPGVA,2030750,SPG240,CULLED,9/27/2021,1/10/2022,46,113.1251125,46,124,0.370967742,SPGVA 46,SPGVA,46,SEMEN QUALITY,2022-01-09
SPGVA,2034392,SPG240,CULLED,11/3/2021,1/10/2022,46,114.2504154,37,124,0.298387097,SPGVA 46,SPGVA,46,SEMEN QUALITY,2022-01-09
SPGVA,6402H,SPG240,CULLED,6/22/2021,1/10/2022,44,109.4800669,59,124,0.475806452,SPGVA 44,SPGVA,44,FEET AND LEGS,2022-01-09
Norson,EX_JJ3097,OTHER,CULLED,6/19/2006,NA,NA,NA,NA,NA,NA,Norson NA,NA,NA,NA,2022-01-16
MB 7082,2006983,SPG240,CULLED,7/24/2021,1/17/2022,43,103.12323,67,115,0.582608696,MB 7082 43,MB 7082,43,SEMEN QUALITY,2022-01-16
MB 7082,2019616,SPG240,CULLED,11/6/2021,1/17/2022,43,105.8002979,47,115,0.408695652,MB 7082 43,MB 7082,43,SEMEN QUALITY,2022-01-16
MB 7082,2019632,SPG240,CULLED,11/6/2021,1/17/2022,43,114.8789063,11,115,0.095652174,MB 7082 43,MB 7082,43,SEMEN QUALITY,2022-01-16
MB 7082,2019699,SPG240,CULLED,11/6/2021,1/17/2022,43,105.3257285,52,115,0.452173913,MB 7082 43,MB 7082,43,SEMEN QUALITY,2022-01-16
MB 7082,2019788,SPG240,CULLED,11/6/2021,1/17/2022,43,115.2502666,10,115,0.086956522,MB 7082 43,MB 7082,43,SEMEN QUALITY,2022-01-16
MB 7082,2019803,SPG240,CULLED,11/6/2021,1/17/2022,43,121.8410324,1,115,0.008695652,MB 7082 43,MB 7082,43,SEMEN QUALITY,2022-01-16
MB 7082,2306C,SPG240,CULLED,12/7/2019,1/17/2022,47,96.91799904,106,115,0.92173913,MB 7082 47,MB 7082,47,LOW INDEX,2022-01-16
MB 7082,2948F,SPG240,CULLED,4/25/2020,1/17/2022,47,97.02557417,104,115,0.904347826,MB 7082 47,MB 7082,47,LOW INDEX,2022-01-16
MB 7082,6095F,SPG240,CULLED,7/5/2020,1/17/2022,41,108.3348754,34,115,0.295652174,MB 7082 41,MB 7082,41,FEETANDLEGS,2022-01-16
MB 7082,6423E,SPG240,CULLED,3/21/2020,1/17/2022,43,102.9356941,68,115,0.591304348,MB 7082 43,MB 7082,43,SEMEN QUALITY,2022-01-16
MB 7082,6983H,SPG240,CULLED,4/10/2021,1/17/2022,44,102.4800138,71,115,0.617391304,MB 7082 44,MB 7082,44,ANATOMY,2022-01-16
MB 7082,70024,PICL02,CULLED,9/13/2020,1/17/2022,47,111,64,67,0.955223881,MB 7082 47,MB 7082,47,LOW INDEX,2022-01-16
MB 7082,70113,PICL02,CULLED,11/22/2020,1/17/2022,47,109,66,67,0.985074627,MB 7082 47,MB 7082,47,LOW INDEX,2022-01-16
MB 7082,70151,PICL02,CULLED,2/1/2021,1/17/2022,47,108,67,67,1,MB 7082 47,MB 7082,47,LOW INDEX,2022-01-16
MB 7082,70160,PICL02,CULLED,3/6/2021,1/17/2022,47,111,65,67,0.970149254,MB 7082 47,MB 7082,47,LOW INDEX,2022-01-16
MB 7082,70218,PICL03,CULLED,10/2/2021,1/17/2022,43,140,13,21,0.619047619,MB 7082 43,MB 7082,43,SEMEN QUALITY,2022-01-16
MB 7082,70231,PICL02,CULLED,12/11/2021,1/17/2022,45,143,10,67,0.149253731,MB 7082 45,MB 7082,45,WILL NOT TRAIN,2022-01-16
MB 7082,70234,PICL02,CULLED,12/11/2021,1/17/2022,45,138,23,67,0.343283582,MB 7082 45,MB 7082,45,WILL NOT TRAIN,2022-01-16
MB 7082,70238,PICL03,CULLED,12/11/2021,1/17/2022,45,154,6,21,0.285714286,MB 7082 45,MB 7082,45,WILL NOT TRAIN,2022-01-16
MB 7082,70241,PICL03,CULLED,12/11/2021,1/17/2022,45,193,1,21,0.047619048,MB 7082 45,MB 7082,45,WILL NOT TRAIN,2022-01-16
MB 7082,70281,PICL02,CULLED,3/6/2021,1/17/2022,47,113,62,67,0.925373134,MB 7082 47,MB 7082,47,LOW INDEX,2022-01-16
MBW Yuma,1533G,SPG240,CULLED,9/14/2020,1/19/2022,57,94.36919086,74,74,1,MBW Yuma 57,MBW Yuma,57,LOW INDEX,2022-01-16
Norson,EX_JJ3097,OTHER,CULLED,6/19/2006,NA,NA,NA,NA,NA,NA,Norson NA,NA,NA,NA,2022-01-23
High Desert,1565H,SPG240,CULLED,2/1/2021,1/25/2022,22,93.74948966,139,160,0.86875,High Desert 22,High Desert,22,LOW INDEX,2022-01-23
High Desert,1804H,SPG240,CULLED,2/1/2021,1/24/2022,22,90.26897655,156,160,0.975,High Desert 22,High Desert,22,LOW INDEX,2022-01-23
High Desert,2005843,SPG240,CULLED,6/30/2021,1/25/2022,22,93.76440328,138,160,0.8625,High Desert 22,High Desert,22,LOW INDEX,2022-01-23
MBW Yuma,2030087,SPG240,CULLED,8/31/2021,1/26/2022,48,98.36749918,48,73,0.657534247,MBW Yuma 48,MBW Yuma,48,SEMEN QUALITY,2022-01-23
Norson,EX_JJ3097,OTHER,CULLED,6/19/2006,NA,NA,NA,NA,NA,NA,Norson NA,NA,NA,NA,2022-01-30
MB 7081,1499H,SPG240,CULLED,1/11/2021,1/30/2022,36,91.68049867,128,139,0.920863309,MB 7081 36,MB 7081,36,GENETIC SERVICES,2022-01-30
MB 7081,2018422,SPG240,CULLED,8/8/2021,1/30/2022,37,98.62769162,102,139,0.73381295,MB 7081 37,MB 7081,37,SEMEN QUALITY,2022-01-30
MB 7081,2019799,SPG240,CULLED,11/22/2021,1/30/2022,36,103.8731791,73,139,0.525179856,MB 7081 36,MB 7081,36,GENETIC SERVICES,2022-01-30
MB 7081,2019906,SPG240,CULLED,11/22/2021,1/30/2022,37,111.991561,13,139,0.09352518,MB 7081 37,MB 7081,37,SEMEN QUALITY,2022-01-30
MB 7081,2019954,SPG240,CULLED,11/22/2021,1/30/2022,37,100.6693358,91,139,0.654676259,MB 7081 37,MB 7081,37,SEMEN QUALITY,2022-01-30
MB 7081,2021009,SPG240,CULLED,11/22/2021,1/30/2022,37,108.5869923,29,139,0.208633094,MB 7081 37,MB 7081,37,SEMEN QUALITY,2022-01-30
MB 7081,6215E,SPG240,CULLED,3/8/2020,1/30/2022,41,88.37061134,137,139,0.985611511,MB 7081 41,MB 7081,41,LOW INDEX,2022-01-30
MB 7081,64001,PICL02,CULLED,9/25/2020,1/30/2022,41,120,56,62,0.903225806,MB 7081 41,MB 7081,41,LOW INDEX,2022-01-30
MB 7081,64173,PICL02,CULLED,2/14/2021,1/30/2022,41,116,62,62,1,MB 7081 41,MB 7081,41,LOW INDEX,2022-01-30
MB 7081,64175,PICL02,CULLED,2/14/2021,1/30/2022,35,129,44,62,0.709677419,MB 7081 35,MB 7081,35,FEETANDLEGS,2022-01-30
MB 7081,64178,PICL02,CULLED,2/14/2021,1/30/2022,41,117,61,62,0.983870968,MB 7081 41,MB 7081,41,LOW INDEX,2022-01-30
MB 7081,64186,PICL02,CULLED,10/18/2021,1/30/2022,41,119,58,62,0.935483871,MB 7081 41,MB 7081,41,LOW INDEX,2022-01-30
MB 7081,7293C,SPG240,CULLED,12/29/2019,1/30/2022,41,87.22932623,139,139,1,MB 7081 41,MB 7081,41,LOW INDEX,2022-01-30
MB 7081,8119C,SPG240,CULLED,2/2/2020,1/30/2022,41,89.38228133,135,139,0.971223022,MB 7081 41,MB 7081,41,LOW INDEX,2022-01-30
MB 7081,970K3,SPG240,CULLED,4/22/2019,1/30/2022,41,88.23264475,138,139,0.992805755,MB 7081 41,MB 7081,41,LOW INDEX,2022-01-30
MB 7092,1109J,SPG240,CULLED,10/4/2020,1/31/2022,36,84.98808337,396,451,0.87804878,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,1994H,SPG240,CULLED,1/23/2021,1/31/2022,4,93.23572758,290,451,0.643015521,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,2004483,SPG240,CULLED,1/23/2021,1/31/2022,4,95.51837162,251,451,0.55654102,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,2005720,SPG240,CULLED,5/8/2021,1/31/2022,4,92.90758591,297,451,0.658536585,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,2014390,SPG240,CULLED,8/22/2021,1/31/2022,4,78.86007326,435,451,0.964523282,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,2014578,SPG240,CULLED,8/22/2021,1/31/2022,3,103.5878896,130,451,0.288248337,MB 7092 3,MB 7092,3,GENETIC SERVICES,2022-01-30
MB 7092,2016972,SPG240,CULLED,5/8/2021,1/31/2022,4,99.32735078,202,451,0.44789357,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,2018298,SPG240,CULLED,8/22/2021,1/31/2022,4,101.2621928,169,451,0.374722838,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,2034260,SPG240,CULLED,9/24/2021,1/31/2022,4,101.9109236,157,451,0.348115299,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,2034263,SPG240,CULLED,9/24/2021,1/31/2022,4,104.6372444,109,451,0.241685144,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,2034314,SPG240,CULLED,10/23/2021,1/31/2022,4,102.9555677,141,451,0.312638581,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,2034645,SPG240,CULLED,10/23/2021,1/31/2022,4,109.8696799,37,451,0.082039911,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,2577F,SPG240,CULLED,4/19/2020,1/31/2022,36,84.92622457,398,451,0.88248337,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,2927F,SPG240,CULLED,4/19/2020,1/31/2022,4,99.48163349,199,451,0.441241685,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,4176B,SPG240,CULLED,8/9/2019,1/31/2022,5,103.1183826,136,451,0.301552106,MB 7092 5,MB 7092,5,ANATOMY,2022-01-30
MB 7092,552G7,SPG240,CULLED,9/6/2018,1/31/2022,36,86.33795942,385,451,0.853658537,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,5643E,SPG240,CULLED,2/8/2020,1/31/2022,36,88.50462738,360,451,0.798226164,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,5893H,SPG240,CULLED,3/13/2021,1/31/2022,4,89.94126894,341,451,0.756097561,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,5956F,SPG240,CULLED,8/9/2020,1/31/2022,5,89.86543165,342,451,0.758314856,MB 7092 5,MB 7092,5,ANATOMY,2022-01-30
MB 7092,5975F,SPG240,CULLED,8/9/2020,1/31/2022,36,85.46242255,394,451,0.873614191,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,6024H,SPG240,CULLED,3/13/2021,1/31/2022,36,89.09240679,355,451,0.78713969,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,6413E,SPG240,CULLED,3/8/2020,1/31/2022,36,89.10897004,354,451,0.784922395,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,6656H,SPG240,CULLED,3/13/2021,1/31/2022,4,90.27270833,337,451,0.747228381,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,6764H,SPG240,CULLED,5/8/2021,1/31/2022,36,88.17494844,366,451,0.811529933,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,7007C,SPG240,CULLED,11/30/2019,1/31/2022,4,103.0767791,137,451,0.303769401,MB 7092 4,MB 7092,4,SEMEN QUALITY,2022-01-30
MB 7092,8339C,SPG240,CULLED,2/8/2020,1/31/2022,36,89.44581441,349,451,0.77383592,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,842H5,SPG240,CULLED,11/22/2018,1/31/2022,36,86.80229175,383,451,0.849223947,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,843H5,SPG240,CULLED,11/22/2018,1/31/2022,36,89.43222668,350,451,0.776053215,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,8733A,SPG240,CULLED,6/30/2019,1/31/2022,36,85.81693209,390,451,0.864745011,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,8875A,SPG240,CULLED,6/30/2019,1/31/2022,36,87.20612646,377,451,0.835920177,MB 7092 36,MB 7092,36,LOW INDEX,2022-01-30
MB 7092,9800J,SPG240,CULLED,1/23/2021,1/31/2022,5,91.50329259,320,451,0.709534368,MB 7092 5,MB 7092,5,ANATOMY,2022-01-30
MBW Cimarron,2015258,SPG240,CULLED,10/11/2021,2/4/2022,34,102.726066,171,283,0.604240283,MBW Cimarron 34,MBW Cimarron,34,FEETANDLEGS,2022-01-30
MBW Yuma,1729G,SPG240,CULLED,9/14/2020,2/4/2022,46,100.0525057,36,72,0.5,MBW Yuma 46,MBW Yuma,46,FEETANDLEGS,2022-01-30
MBW Yuma,1841G,SPG240,CULLED,9/15/2020,2/2/2022,48,96.3279137,59,72,0.819444444,MBW Yuma 48,MBW Yuma,48,SEMEN QUALITY,2022-01-30
MBW Yuma,422J5,SPG240,CULLED,3/26/2019,2/2/2022,48,97.10987861,52,72,0.722222222,MBW Yuma 48,MBW Yuma,48,SEMEN QUALITY,2022-01-30
SPGNC,2000841,SPG240,CULLED,5/17/2021,1/31/2022,3,69.29013552,166,166,1,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2019643,SPG240,CULLED,12/27/2021,1/31/2022,4,110.4027838,93,166,0.560240964,SPGNC 4,SPGNC,4,SEMEN QUALITY,2022-01-30
SPGNC,2019805,SPG240,CULLED,12/27/2021,1/31/2022,4,121.2261811,15,166,0.090361446,SPGNC 4,SPGNC,4,SEMEN QUALITY,2022-01-30
SPGNC,2021173,SPG240,CULLED,12/27/2021,1/31/2022,4,119.657765,23,166,0.138554217,SPGNC 4,SPGNC,4,SEMEN QUALITY,2022-01-30
SPGNC,2021220,SPG240,CULLED,12/27/2021,1/31/2022,3,80.94079214,165,166,0.993975904,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2023312,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2023807,SPG120,CULLED,12/27/2021,1/31/2022,4,114.3486588,19,35,0.542857143,SPGNC 4,SPGNC,4,SEMEN QUALITY,2022-01-30
SPGNC,2025736,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2025744,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2025751,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2025758,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2025760,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2025789,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2025791,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2025805,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2025813,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2025818,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2025822,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
SPGNC,2025831,SPG460,CULLED,11/22/2021,1/31/2022,3,NA,NA,NA,NA,SPGNC 3,SPGNC,3,GENETIC SERVICES,2022-01-30
