Boar Stud,Semen QCQA Score,13 Week Semen QCQA Score,Production Score,13 Week Production Score,Genetic Implementation Score,13 Week Genetic Implementation Score,Total Score,13 Week Total Score
High Desert,14,13.846153846153847,12,12.76923076923077,7,8.461538461538462,33,35.07692307692308
MB 7081,14,13.076923076923077,14,11.538461538461538,6,7,34,31.615384615384613
MB 7082,12,13.461538461538462,13,11.153846153846153,9,8.615384615384615,34,33.230769230769226
MB 7092,14,13.692307692307692,12,12.307692307692308,12,11.461538461538462,38,37.46153846153846
MB 7094,14,13.76923076923077,11,11.923076923076923,8,9.307692307692308,33,35
MB 7093,12,13,13,11.76923076923077,12,11.846153846153847,37,36.61538461538461
MBW Cimarron,15,14.538461538461538,14,13.692307692307692,12,11.538461538461538,41,39.76923076923077
MBW Cyclone,14,14,14,14.384615384615385,12,11.538461538461538,40,39.92307692307693
MBW Yuma,15,12.846153846153847,14,12.76923076923077,11,10.692307692307692,40,36.30769230769231
Princeton,14,14.23076923076923,15,14.461538461538462,12,11.692307692307692,41,40.38461538461539
Skyline Boar Stud,13,14.153846153846153,14,12.615384615384615,11,11.692307692307692,38,38.46153846153846
SPGNC,15,13.384615384615385,14,14.153846153846153,10,11.461538461538462,39,39
SPGVA,12,14.23076923076923,15,14.76923076923077,12,12,39,41
