Boar Stud,Semen QCQA Score,13 Week Semen QCQA Score,Production Score,13 Week Production Score,Genetic Implementation Score,13 Week Genetic Implementation Score,Total Score,13 Week Total Score
MB 7092,10,9.307692307692308,10,9.538461538461538,10,9.846153846153847,30,28.692307692307693
MBW Cimarron,9,8.846153846153847,10,9.76923076923077,9,7.923076923076923,28,26.53846153846154
MBW Cyclone,7,8.76923076923077,10,9.307692307692308,8,7.615384615384615,25,25.692307692307693
MB 7081,9,8.076923076923077,10,9.076923076923077,7,7.923076923076923,26,25.076923076923077
MB 7082,9,9.23076923076923,10,8.846153846153847,10,9.692307692307692,29,27.769230769230766
MB 7094,10,8.153846153846153,8,9.23076923076923,5,8.076923076923077,23,25.46153846153846
Skyline Boar Stud,10,9.153846153846153,10,9.461538461538462,7,6.923076923076923,27,25.538461538461537
SPGNC,7,9.23076923076923,10,9.846153846153847,10,9.76923076923077,27,28.846153846153847
SPGVA,9,8.692307692307692,10,9.538461538461538,9,8.307692307692308,28,26.53846153846154
MB 7093,10,9.461538461538462,10,9.615384615384615,10,9.384615384615385,30,28.46153846153846
MBW Yuma,10,9.153846153846153,10,10,8,9.538461538461538,28,28.692307692307693
