Boar Stud,Inventory,% Boars Distributed,Missed Index,TScore,Average Days Rest,DScore,Percent Trained,BScore,% Boars Culled in Bottom 25%,IScore,Total,4 Week Average,Quarter Average
Clinton,200,89.60000000000001,1.7318019537480893,0,7.45348837209302,3,41.53846153846154,0,25,0,3,3,3.5384615384615383
GCM23-4,210,91.54929577464789,0.16317025348416792,3,7.41269841269841,3,75,1,34.375,1,8,9.25,9.538461538461538
High Desert,217,5.031446540880504,0,3,12.646017699115,0,84.70588235294117,2,41.46341463414634,2,7,8.25,8.307692307692308
Ingold,186,48.62385321100918,8.753403821643957,0,9.34375,1,38.52459016393443,0,18.84057971014493,0,1,0.5,1.2307692307692308
MB 7081,204,83.9506172839506,0.7137482914176729,1,8.20886075949367,2,17.88617886178862,0,64.42307692307693,3,6,5.75,6.846153846153846
MB 7082,187,100,0,3,7.55633802816901,3,62.589928057553955,0,63.63636363636363,3,9,8.75,8.615384615384615
MB 7092,369,89.15989159891599,0.021008963521964574,3,7.3910447761194,3,93.33333333333333,3,58.620689655172406,3,12,11.5,11.538461538461538
MB 7093,435,95.86206896551724,0.23280396539158232,3,7.48888888888889,3,98.11320754716981,3,66.35514018691589,3,12,12,11.846153846153847
MB 7094,417,71.70263788968825,2.3516436179150304,0,6.21362229102167,3,86,2,51.546391752577314,3,8,9,9.384615384615385
MBW Cimarron,211,74.60317460317461,0,3,6.82702702702703,3,96.57534246575342,3,51.94805194805194,3,12,11,11.538461538461538
MBW Cyclone,255,75.5,0,3,7.04,3,97.3913043478261,3,45.45454545454545,2,11,10.75,11.461538461538462
MBW Yuma,164,91.66666666666666,0,3,7.82876712328767,3,87.12871287128714,2,55.55555555555556,3,11,10.75,10.692307692307692
Norson,227,66.15384615384615,0,3,8.15322580645161,2,24.637681159420293,0,0,0,5,3.5,4.615384615384615
Prestage MS,193,76.5625,2.677983911260199,0,8.31632653061224,2,0,3,31.666666666666664,1,6,5.25,4.230769230769231
Princeton,271,80.32786885245902,0.05973437842403939,3,6.83208955223881,3,92.72727272727272,3,81.89655172413794,3,12,12,11.692307692307692
Skyline Boar Stud,208,80.28846153846155,0.08463494026649698,3,7.49732620320856,3,98.27586206896551,3,80,3,12,11.75,11.76923076923077
SPGNC,201,77,0.5246424565704189,1,7.01714285714286,3,91.75257731958763,3,78.2258064516129,3,10,11.5,11.307692307692308
SPGVA,189,79.34782608695652,0,3,7.56363636363636,3,94.65648854961832,3,75.77639751552795,3,12,12,12
