Boar Stud,Missed Index,IScore,Percent Trained,TScore,Average Days Rest,RScore,Removal Reason Errors,CScore,Total,4 Week Average,Quarter Average
MB 7081,0.210862795107354,2,90.56603773584906,3,8.13872832369942,1,0,1,7,9,7.923076923076923
MB 7082,0.03448275862069431,4,93.15068493150685,3,6.62345679012346,2,0,1,10,9,9.692307692307692
MB 7092,0.00945427100069196,4,100,3,7.19072164948454,2,0,1,10,10,9.846153846153847
MB 7093,0,4,100,3,7.18559556786704,2,0,1,10,9.5,9.384615384615385
MB 7094,0.8863937038760099,0,97.10144927536231,3,8.29350649350649,1,0,1,5,9.5,8.076923076923077
MBW Cimarron,0.04706757516144464,4,81.95488721804512,2,6.69811320754717,2,0,1,9,8.5,7.923076923076923
MBW Cyclone,4.625127746055514e-4,4,98.52941176470588,3,9.4375,0,0,1,8,8,7.615384615384615
MBW Yuma,0.19548379441744146,3,94.73684210526315,3,7.01652892561984,2,1,0,8,10,9.538461538461538
Skyline Boar Stud,0,4,37.5,0,6.92735042735043,2,0,1,7,6.5,6.923076923076923
SPGNC,0,4,94.82758620689656,3,6.82269503546099,2,0,1,10,10,9.76923076923077
SPGVA,0.007751937984508242,4,93.47826086956522,3,7.496,2,3,0,9,8.75,8.307692307692308
