Boar Stud,Inventory,Target,Inventory to target,boars,dist,actual,WeekCommencing,target,Missed Index,yrwk,Average Days Rest,Standard Deviation,Total Boars Culled,% Boars Culled in Bottom 25%,Total Boars,Boars Trained Within 14 Days,Percent Trained,% Boars Distributed,Average Inventory,rate,IScore,TScore,DScore,BScore,Total,wk,qt,yr,Month
High Desert,164,150,109.3333333,120,60,124.1188107,NA,125.164792,1.045981299,201904,7.717391304,1.310861353,0,0,0,0,0,50,0,0,3,0,3,0,6,4,1,2019,January
MB 7081,218,220,99.09090909,132,95,124.2859771,NA,124.32859500000001,0.042617814,201904,8.541284404,2.913989597,0,0,57,51,89.47368421,71.96969697,0,0,3,3,2,2,10,4,1,2019,January
MB 7082,221,220,100.4545455,114,70,124.4626844,NA,124.5175001,0.054815687,201904,7.810810811,1.84818071,0,0,58,47,81.03448276,61.40350877,0,0,3,2,3,2,10,4,1,2019,January
MB 7092,585,600,97.5,585,551,123.6011851,NA,123.6862443,0.085059272,201904,7.35,1.702802448,0,0,190,185,97.36842105,94.18803419,0,0,3,2,3,3,11,4,1,2019,January
MB 7093,509,500,101.8,509,497,123.4707534,NA,123.5071349,0.036381461,201904,6.209677419,0.927899277,0,0,90,88,97.77777778,97.64243615,0,0,3,3,3,3,12,4,1,2019,January
MBW Cimarron,191,200,95.5,158,123,123.8090437,NA,123.9559774,0.146933756,201904,8.730496454,1.776350322,0,0,59,56,94.91525424,77.84810127,0,0,3,1,2,3,9,4,1,2019,January
MBW Cyclone,189,200,94.5,160,149,123.8484169,NA,123.9177152,0.069298295,201904,6.868421053,0.827380855,0,0,42,25,59.52380952,93.125,0,0,3,2,3,0,8,4,1,2019,January
MBW Illinois,29,40,72.5,20,18,234.7978689,NA,234.9454374,0.147568412,201904,0,0,0,0,0,0,0,90,0,0,0,1,0,0,1,4,1,2019,January
MBW Yuma,197,210,93.80952381,166,94,124.4901924,NA,124.7617906,0.271598242,201904,7.688,1.427924277,0,0,66,62,93.93939394,56.62650602,0,0,3,0,3,3,9,4,1,2019,January
Princeton,430,428,100.4672897,390,285,123.93514,NA,124.5506023,0.615462316,201904,7.809859155,2.347641772,0,0,179,89,49.72067039,73.07692308,0,0,3,0,3,0,6,4,1,2019,January
Skyline Boar Stud,392,365,107.3972603,335,209,123.3427902,NA,124.2061613,0.863371073,201904,10.81516588,9.849290878,0,0,89,13,14.60674157,62.3880597,0,0,3,0,0,0,3,4,1,2019,January
SPGVA,282,292,96.57534247,110,64,125.9699261,NA,126.6116892,0.641763092,201904,7.920634921,2.585952045,0,0,49,19,38.7755102,58.18181818,0,0,3,0,3,0,6,4,1,2019,January
SPGNC,220,220,100,80,44,126.3364612,NA,126.5009525,0.164491208,201904,9.189655172,3.415428855,0,0,35,34,97.14285714,55,0,0,3,0,1,3,7,4,1,2019,January
High Desert,164,150,109.3333333,120,96,124.1252947,1/26/1949,124.2492426,0.123947924,201905,9.211009174,3.285978614,0,0,88,85,96.59090909,80,0,0,3,1,1,3,8,5,1,2019,February
MB 7081,218,220,99.09090909,131,84,124.3981082,1/26/1949,124.4328214,0.034713186,201905,8.118343195,2.572326555,0,0,100,91,91,64.1221374,0,0,3,3,2,3,11,5,1,2019,February
MB 7082,221,220,100.4545455,114,68,124.4307892,1/26/1949,124.4981401,0.067350835,201905,8.255813953,2.330504784,0,0,102,79,77.45098039,59.64912281,0,0,3,2,2,1,8,5,1,2019,February
MB 7092,582,600,97,583,543,123.6031456,1/26/1949,123.6845268,0.081381192,201905,7.39488117,1.938007014,0,0,190,185,97.36842105,93.13893654,0,0,3,2,3,3,11,5,1,2019,February
MB 7093,507,500,101.4,507,501,123.6124047,1/26/1949,123.6291493,0.01674456,201905,6.027833002,1.067082945,0,0,90,88,97.77777778,98.81656805,0,0,3,3,3,3,12,5,1,2019,February
MBW Cimarron,187,200,93.5,154,91,124.2255976,1/26/1949,124.3264788,0.100881195,201905,7.546583851,1.503954415,0,0,39,36,92.30769231,59.09090909,0,0,3,1,3,3,10,5,1,2019,February
MBW Cyclone,189,200,94.5,160,111,123.7934239,1/26/1949,124.3453779,0.551954029,201905,6.828220859,0.899897745,0,0,46,28,60.86956522,69.375,0,0,3,0,3,0,6,5,1,2019,February
MBW Illinois,28,40,70,19,19,233.5811676,1/26/1949,233.5811676,0,201905,7.037037037,1.427248064,0,0,15,9,60,100,0,0,0,3,3,0,6,5,1,2019,February
