Boar Stud,BoarID.x,Breed.x.x,Boar Status.x,Col_Date.x,Collected.x,Collection Status.x,Distributed.x,Index.x,Included.x,Needed,Actual
High Desert,34001,DNA400,WORKING,2021-03-10,YES,US,YES,NA,YES,NA,NA
High Desert,34003,DNA400,WORKING,2021-03-08,YES,US,YES,NA,YES,NA,NA
High Desert,34004,DNA400,WORKING,2021-03-10,YES,US,YES,NA,YES,NA,NA
High Desert,34005,DNA400,WORKING,2021-03-10,YES,US,YES,NA,YES,NA,NA
High Desert,34006,DNA400,WORKING,2021-03-08,YES,US,YES,NA,YES,NA,NA
High Desert,34007,DNA400,WORKING,2021-03-10,YES,US,YES,NA,YES,NA,NA
High Desert,34009,DNA400,WORKING,2021-03-08,YES,US,YES,NA,YES,NA,NA
High Desert,34010,DNA400,WORKING,2021-03-08,YES,US,YES,NA,YES,NA,NA
High Desert,34012,DNA400,WORKING,2021-03-10,YES,US,YES,NA,YES,NA,NA
High Desert,34013,DNA400,WORKING,2021-03-09,YES,US,YES,NA,YES,NA,NA
High Desert,34014,DNA400,WORKING,2021-03-08,YES,US,YES,NA,YES,NA,NA
High Desert,34016,DNA400,WORKING,2021-03-10,YES,US,YES,NA,YES,NA,NA
High Desert,34017,DNA400,WORKING,2021-03-10,YES,US,YES,NA,YES,NA,NA
High Desert,34018,DNA400,WORKING,2021-03-08,YES,US,YES,NA,YES,NA,NA
High Desert,34019,DNA400,WORKING,2021-03-11,YES,US,YES,NA,NO,NA,NA
High Desert,34019,DNA400,WORKING,2021-03-08,YES,US,YES,NA,YES,NA,NA
High Desert,34020,DNA400,WORKING,2021-03-08,YES,US,YES,NA,YES,NA,NA
High Desert,34022,DNA400,WORKING,2021-03-10,YES,US,YES,NA,YES,NA,NA
High Desert,34023,DNA400,WORKING,2021-03-10,YES,US,YES,NA,YES,NA,NA
High Desert,34024,DNA400,WORKING,2021-03-09,YES,US,YES,NA,YES,NA,NA
High Desert,34025,DNA400,WORKING,2021-03-10,YES,US,YES,NA,YES,NA,NA
High Desert,34027,DNA400,WORKING,2021-03-09,YES,US,YES,NA,YES,NA,NA
High Desert,34028,DNA400,WORKING,2021-03-11,YES,US,YES,NA,YES,NA,NA
High Desert,34031,DNA400,WORKING,2021-03-08,YES,US,YES,NA,YES,NA,NA
High Desert,34032,DNA400,WORKING,2021-03-09,YES,US,YES,NA,YES,NA,NA
High Desert,34033,DNA400,WORKING,2021-03-11,YES,US,YES,NA,YES,NA,NA
High Desert,34034,DNA400,WORKING,2021-03-11,YES,US,YES,NA,YES,NA,NA
High Desert,9671E,SPG120,WORKING,2021-03-11,YES,US,NO,113.45458816433057,YES,NA,NA
High Desert,6450U,SPG120,WORKING,2021-03-11,YES,US,NO,106.89471361005104,YES,NA,NA
High Desert,4754R,SPG120,WORKING,2021-03-11,YES,US,NO,106.33165380102449,YES,NA,NA
High Desert,9583E,SPG120,WORKING,2021-03-10,YES,US,NO,105.8957009756945,YES,NA,NA
High Desert,628J4,SPG120,WORKING,2021-03-10,YES,US,NO,104.95112887681749,YES,NA,NA
High Desert,6775U,SPG120,WORKING,2021-03-10,YES,US,NO,104.3575308282832,YES,NA,NA
High Desert,1821H,SPG240,WORKING,2021-03-11,YES,TR,NO,119.08618323390624,YES,0,0
High Desert,1820H,SPG240,WORKING,2021-03-12,YES,US,NO,115.51623530816549,YES,0,NA
High Desert,6217R,SPG240,WORKING,2021-03-12,YES,US,NO,112.35462292777306,YES,0,NA
High Desert,6218R,SPG240,WORKING,2021-03-08,YES,US,NO,111.93086744344247,YES,0,NA
High Desert,1675H,SPG240,WORKING,2021-03-12,YES,US,NO,111.45211616899964,YES,0,NA
High Desert,7052R,SPG240,WORKING,2021-03-11,YES,US,NO,110.06805894310148,YES,0,NA
High Desert,1922G,SPG240,WORKING,2021-03-09,YES,US,NO,109.9497146324922,YES,0,NA
High Desert,4804F,SPG240,WORKING,2021-03-08,YES,US,NO,109.71301355863768,YES,0,NA
High Desert,1591H,SPG240,WORKING,2021-03-09,YES,US,NO,109.67258868370045,YES,0,NA
High Desert,5344E,SPG240,WORKING,2021-03-09,YES,US,NO,109.10322675004602,YES,0,NA
High Desert,235Y1,SPG240,WORKING,2021-03-11,YES,TR,NO,109.09758456785941,YES,0,0
High Desert,543P3,SPG240,WORKING,2021-03-12,YES,TR,NO,108.94696739321476,YES,0,0
High Desert,1690G,SPG240,WORKING,2021-03-09,YES,US,NO,107.93967961113351,YES,0,NA
High Desert,4772F,SPG240,WORKING,2021-03-12,YES,US,NO,107.8602956443476,YES,0,NA
High Desert,2253V,SPG240,WORKING,2021-03-09,YES,US,NO,107.47694455812861,YES,0,NA
High Desert,4769F,SPG240,WORKING,2021-03-09,YES,US,NO,107.4408186648536,YES,0,NA
High Desert,4730F,SPG240,WORKING,2021-03-08,YES,US,NO,107.04674779862111,YES,0,NA
High Desert,1555H,SPG240,WORKING,2021-03-12,YES,US,NO,106.5009905691304,YES,0,NA
High Desert,490HO,SPG240,WORKING,2021-03-08,YES,US,NO,106.49395272806265,YES,0,NA
High Desert,1872G,SPG240,WORKING,2021-03-09,YES,US,NO,106.47842159505018,YES,0,NA
