Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
High Desert,34001,DNA400,WORKING,20001027819,2021-02-24,YES,US,YES,NA
High Desert,34003,DNA400,WORKING,20001027759,2021-02-22,YES,US,YES,NA
High Desert,34004,DNA400,WORKING,20001027825,2021-02-24,YES,US,YES,NA
High Desert,34005,DNA400,WORKING,20001027817,2021-02-24,YES,US,YES,NA
High Desert,34006,DNA400,WORKING,20001027754,2021-02-22,YES,US,YES,NA
High Desert,34007,DNA400,WORKING,20001027753,2021-02-22,YES,US,YES,NA
High Desert,34009,DNA400,WORKING,20001027776,2021-02-23,YES,US,YES,NA
High Desert,34012,DNA400,WORKING,20001027821,2021-02-24,YES,US,YES,NA
High Desert,34013,DNA400,WORKING,20001027818,2021-02-24,YES,US,YES,NA
High Desert,34014,DNA400,WORKING,20001027757,2021-02-22,YES,US,YES,NA
High Desert,34016,DNA400,WORKING,20001027824,2021-02-24,YES,US,YES,NA
High Desert,34017,DNA400,WORKING,20001027822,2021-02-24,YES,US,YES,NA
High Desert,34018,DNA400,WORKING,20001027760,2021-02-22,YES,US,YES,NA
High Desert,34019,DNA400,WORKING,20001027758,2021-02-22,YES,US,YES,NA
High Desert,34020,DNA400,WORKING,20001027755,2021-02-22,YES,US,YES,NA
High Desert,34022,DNA400,WORKING,20001027756,2021-02-22,YES,US,YES,NA
High Desert,34022,DNA400,WORKING,20001027854,2021-02-25,YES,US,YES,NA
High Desert,34023,DNA400,WORKING,20001027823,2021-02-24,YES,US,YES,NA
High Desert,34024,DNA400,WORKING,20001027774,2021-02-23,YES,US,YES,NA
High Desert,34025,DNA400,WORKING,20001027816,2021-02-24,YES,US,YES,NA
High Desert,34027,DNA400,WORKING,20001027820,2021-02-24,YES,US,YES,NA
High Desert,34028,DNA400,WORKING,20001027852,2021-02-25,YES,US,YES,NA
High Desert,34031,DNA400,WORKING,20001027775,2021-02-23,YES,US,YES,NA
High Desert,34032,DNA400,WORKING,20001027777,2021-02-23,YES,US,YES,NA
High Desert,34033,DNA400,WORKING,20001027752,2021-02-22,YES,US,YES,NA
High Desert,34033,DNA400,WORKING,20001027853,2021-02-25,YES,US,YES,NA
High Desert,34034,DNA400,WORKING,20001027855,2021-02-25,YES,US,YES,NA
High Desert,2216N,SPG120,NONWORKING,20001027882,2021-02-25,YES,US,NO,96.1086139409122
High Desert,288H3,SPG120,NONWORKING,20001027849,2021-02-24,YES,US,NO,91.78184465962632
High Desert,1354F,SPG120,NONWORKING,20001027848,2021-02-24,YES,US,NO,82.43448192598996
