Boar Stud,Collections,Treatments,Lutalyse Usage,202106,202107,202108,202109
Clinton,177,0,0,0,0,0,0
GCM23-4,186,0,0,0,0,0,0
High Desert,98,3,3.061224489795918,2,1.9801980198019802,1.5384615384615385,1.282051282051282
Ingold,95,0,0,0,0,0,0
MB 7081,137,4,2.9197080291970803,2.5210084033613445,2.158273381294964,3.7037037037037033,1.3245033112582782
MB 7082,152,6,3.9473684210526314,4.724409448818897,0,4.411764705882353,4.225352112676056
MB 7092,334,6,1.7964071856287425,1.9736842105263157,1.6778523489932886,0.8797653958944283,0.5649717514124294
MB 7093,365,3,0.821917808219178,1.3812154696132597,1.5706806282722512,1.392757660167131,1.8276762402088773
MB 7094,367,10,2.7247956403269753,1.82370820668693,0.6172839506172839,0.5730659025787965,2.666666666666667
MBW Cimarron,185,6,3.2432432432432434,3.6269430051813467,2.5906735751295336,4.9079754601226995,3.684210526315789
MBW Cyclone,226,4,1.7699115044247788,2.491103202846975,0.5263157894736842,1.694915254237288,2.2222222222222223
MBW Yuma,135,3,2.2222222222222223,2.877697841726619,2.9197080291970803,2.272727272727273,2.4
Norson,119,0,0,0,0,0,0
Prestage MS,75,0,0,0,0,0,0
Princeton,272,12,4.411764705882353,2.848101265822785,3.9285714285714284,2.877697841726619,3.2490974729241873
Skyline Boar Stud,200,0,0,0,0,0,0
SPGNC,186,4,2.1505376344086025,3.614457831325301,1.8867924528301887,2.923976608187134,3.910614525139665
SPGVA,172,4,2.3255813953488373,1.694915254237288,2.3529411764705883,1.910828025477707,1.8292682926829267
