Boar Stud,Number of Readings,Average Reading,Standard Deviation,Readings Under 0.100,Readings Over 0.300
High Desert,115,0.1005391304347826,0.05860233019684782,29,0
MB 7081,151,0.17997350993377484,0.06835407298470395,9,5
MB 7082,183,0.15911475409836065,0.10270266991414656,30,8
MB 7092,336,0.19023511904761906,0.053517033851144924,3,1
MB 7093,421,0.16368883610451307,0.07850869283882626,58,6
MB 7094,368,0.17615760869565217,0.05409631280518311,12,1
MBW Cimarron,207,0.1438454106280193,0.049782978196928,10,1
MBW Cyclone,261,0.028662835249042146,0.04865658029266544,202,0
MBW Yuma,159,0.11511320754716982,0.07017148805497185,39,0
Princeton,283,0.04958303886925795,0.05996821849138424,169,1
Skyline Boar Stud,200,0.07906,0.06652423444763736,83,0
SPGNC,209,0.2191866028708134,0.053694547535468116,4,3
SPGVA,182,0.11083516483516484,0.07076945118263184,45,0
