Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
Clinton,SPG120,238.9041807,241.1708903,2.266709548,4/29/2019
Clinton,SPG240,123.8017397,125.0403072,1.238567492,4/29/2019
GCM7-4,SPG110,235.487979,235.487979,0,4/29/2019
GCM7-4,SPG120,239.032711,239.0624098,0.029698753,4/29/2019
GCM7-4,SPG240,124.951712,124.9559258,0.004213767,4/29/2019
High Desert,SPG110,224.2222367,224.2222367,0,4/29/2019
High Desert,SPG120,234.497547,235.2341256,0.736578596,4/29/2019
High Desert,SPG240,124.3516824,124.5857956,0.234113227,4/29/2019
Ingold,SPG240,124.0715127,124.1215518,0.050039133,4/29/2019
MB 7081,SPG120,237.8070786,238.5129038,0.705825215,4/29/2019
MB 7081,SPG240,124.1701405,124.2513346,0.081194136,4/29/2019
MB 7082,SPG120,237.2956656,237.4257849,0.130119212,4/29/2019
MB 7082,SPG240,124.1784093,124.2878724,0.10946305,4/29/2019
MB 7092,SPG240,123.7143447,124.0388939,0.324549209,4/29/2019
MB 7093,SPG240,123.5278576,123.5814777,0.053620106,4/29/2019
MB 7094,SPG240,124.8997078,124.9956247,0.095916919,4/29/2019
MBW Cimarron,SPG110,236.4765566,236.7072797,0.230723077,4/29/2019
MBW Cimarron,SPG120,238.4085037,238.4085037,0,4/29/2019
MBW Cimarron,SPG240,124.3419078,124.3419078,0,4/29/2019
MBW Cyclone,SPG120,240.0056766,240.0056766,0,4/29/2019
MBW Cyclone,SPG240,124.2453677,124.3005143,0.055146556,4/29/2019
MBW Illinois,SPG110,232.1316485,232.1316485,0,4/29/2019
MBW Illinois,SPG120,235.3885064,235.3885064,0,4/29/2019
MBW Yuma,SPG110,229.1016026,231.796881,2.695278392,4/29/2019
MBW Yuma,SPG120,235.4333353,235.441436,0.008100752,4/29/2019
MBW Yuma,SPG240,124.212019,124.4110556,0.19903663,4/29/2019
Norson,SPG240,122.9384284,123.4027212,0.464292789,4/29/2019
Prestage MS,SPG110,227.5215193,228.177427,0.655907729,4/29/2019
Prestage MS,SPG120,233.8071069,234.167844,0.360737153,4/29/2019
Prestage MS,SPG240,124.026264,124.0919766,0.065712623,4/29/2019
Princeton,SPG110,230.2092269,230.6320133,0.422786439,4/29/2019
Princeton,SPG120,237.5902946,238.4379924,0.847697885,4/29/2019
Princeton,SPG240,124.4108766,124.4692952,0.058418613,4/29/2019
Skyline Boar Stud,SPG110,226.1677134,228.3762577,2.208544252,4/29/2019
