Boar Stud,Average Inventory,Total Dead,Annualized Mortality
Clinton,210.92307692307693,7,13.274981765134939
GCM23-4,237.6153846153846,20,33.66785367432826
High Desert,206.23076923076923,8,15.516598284222304
Ingold,176.30769230769232,12,27.225130890052352
MB 7081,217.76923076923077,1,1.8368067820558105
MB 7082,196.15384615384616,6,12.235294117647058
MB 7092,384.6923076923077,51,53.02939412117576
MB 7093,411.61538461538464,27,26.238086339002052
MB 7094,397.38461538461536,28,28.184281842818432
MBW Cimarron,215,5,9.30232558139535
MBW Cyclone,236.23076923076923,7,11.852816672093782
MBW Yuma,170.84615384615384,7,16.389013957676724
Norson,236.53846153846155,9,15.21951219512195
Prestage MS,230.23076923076923,24,41.69729368526562
Princeton,303.53846153846155,4,5.271160669031931
Skyline Boar Stud,234.76923076923077,30,51.11402359108781
SPGNC,207.07692307692307,6,11.589895988112927
SPGTX,116.07692307692308,8,27.567925778661362
SPGVA,232.6153846153846,4,6.878306878306878
