Boar Stud,Average Inventory,Non-Genetic Removals,Index Cull Errors,Total Non-Genetic Removals,% Non-Genetic Removals
MB 7081,223.46153846153845,14,0,14,25.060240963855424
MB 7082,186.92307692307693,0,0,0,0
MB 7092,453,31,0,31,27.373068432671083
MB 7093,442.15384615384613,39,0,39,35.281837160751564
MB 7094,479.0769230769231,49,0,49,40.912010276172126
MBW Cimarron,344.61538461538464,10,0,10,11.607142857142856
MBW Cyclone,269.2307692307692,8,0,8,11.885714285714286
MBW Yuma,159.23076923076923,13,0,13,32.65700483091788
Skyline Boar Stud,240.07692307692307,2,0,2,3.3322652995834674
SPGNC,181.3846153846154,20,0,20,44.10517387616624
SPGVA,255.84615384615384,0,0,0,0
