Boar Stud,Reportwk,tb,ic
Clinton,2022-01-02,52,8
High Desert,2022-01-02,47,19
High Desert,2022-01-09,56,27
High Desert,2022-01-16,56,27
High Desert,2022-01-23,59,30
High Desert,2022-01-30,50,28
High Desert,2022-02-06,37,30
High Desert,2022-02-13,33,28
High Desert,2022-02-20,34,29
High Desert,2022-02-27,32,27
High Desert,2022-03-06,25,20
High Desert,2022-03-13,25,20
High Desert,2022-03-20,26,19
High Desert,2022-03-27,27,20
Ingold,2022-01-02,20,0
MB 7081,2022-01-02,51,20
MB 7081,2022-01-09,51,20
MB 7081,2022-01-16,51,20
MB 7081,2022-01-23,31,19
MB 7081,2022-01-30,46,29
MB 7081,2022-02-06,46,29
MB 7081,2022-02-13,46,29
MB 7081,2022-02-20,46,29
MB 7081,2022-02-27,30,15
MB 7081,2022-03-06,47,19
MB 7081,2022-03-13,47,19
MB 7081,2022-03-20,47,19
MB 7081,2022-03-27,47,19
MB 7082,2022-01-02,61,32
MB 7082,2022-01-09,41,19
MB 7082,2022-01-16,62,26
MB 7082,2022-01-23,62,26
MB 7082,2022-01-30,62,26
MB 7082,2022-02-06,62,26
MB 7082,2022-02-13,42,13
MB 7082,2022-02-20,57,14
MB 7082,2022-02-27,57,14
MB 7082,2022-03-06,57,14
MB 7082,2022-03-13,57,14
MB 7082,2022-03-20,36,8
MB 7082,2022-03-27,54,14
MB 7092,2022-01-02,16,2
MB 7092,2022-01-09,16,2
MB 7092,2022-01-16,16,2
MB 7092,2022-01-23,16,2
MB 7092,2022-01-30,41,18
MB 7092,2022-02-06,41,18
MB 7092,2022-02-13,41,18
MB 7092,2022-02-20,41,18
MB 7092,2022-02-27,41,18
MB 7092,2022-03-06,41,18
MB 7092,2022-03-13,25,16
MB 7092,2022-03-20,25,16
MB 7092,2022-03-27,48,31
MB 7093,2022-01-02,50,42
MB 7093,2022-01-09,50,42
MB 7093,2022-01-16,50,42
MB 7093,2022-01-23,50,42
MB 7093,2022-01-30,50,42
MB 7093,2022-02-06,50,42
MB 7093,2022-02-13,50,42
MB 7093,2022-02-27,50,50
MB 7093,2022-03-06,50,50
MB 7093,2022-03-13,50,50
MB 7093,2022-03-20,50,50
MB 7093,2022-03-27,50,50
MBW Cimarron,2022-01-02,47,24
MBW Cimarron,2022-01-09,46,23
MBW Cimarron,2022-01-16,45,22
MBW Cimarron,2022-01-23,41,21
MBW Cimarron,2022-01-30,41,20
MBW Cimarron,2022-02-06,11,5
MBW Cimarron,2022-02-13,13,7
MBW Cimarron,2022-02-20,10,6
MBW Cimarron,2022-02-27,11,6
MBW Cimarron,2022-03-06,10,5
MBW Cimarron,2022-03-13,46,26
MBW Cimarron,2022-03-20,45,24
MBW Cimarron,2022-03-27,46,24
MBW Cyclone,2022-01-02,28,11
MBW Cyclone,2022-01-09,28,11
MBW Cyclone,2022-01-16,28,11
MBW Cyclone,2022-01-23,28,11
MBW Cyclone,2022-01-30,28,11
MBW Cyclone,2022-02-06,28,11
MBW Cyclone,2022-02-13,28,11
MBW Cyclone,2022-02-20,28,11
MBW Cyclone,2022-02-27,28,11
MBW Cyclone,2022-03-06,28,11
MBW Cyclone,2022-03-13,48,19
MBW Cyclone,2022-03-20,48,19
MBW Cyclone,2022-03-27,20,8
MBW Yuma,2022-01-02,26,17
MBW Yuma,2022-01-09,24,14
MBW Yuma,2022-01-16,25,15
MBW Yuma,2022-01-23,23,13
MBW Yuma,2022-01-30,26,14
MBW Yuma,2022-02-06,26,14
MBW Yuma,2022-02-13,26,12
MBW Yuma,2022-02-20,27,13
MBW Yuma,2022-02-27,26,12
MBW Yuma,2022-03-06,25,9
MBW Yuma,2022-03-13,20,6
MBW Yuma,2022-03-20,21,6
MBW Yuma,2022-03-27,20,5
Norson,2022-01-02,121,0
Norson,2022-01-09,121,0
Norson,2022-01-16,121,0
Norson,2022-01-23,121,0
Norson,2022-01-30,121,0
Norson,2022-02-06,146,0
Norson,2022-02-13,146,0
Norson,2022-02-20,146,0
Norson,2022-02-27,118,0
Norson,2022-03-06,39,0
Norson,2022-03-13,39,0
Norson,2022-03-20,81,0
Norson,2022-03-27,81,0
Princeton,2022-01-02,138,137
Princeton,2022-01-09,132,131
SPGNC,2022-01-02,47,40
SPGNC,2022-01-09,47,40
SPGNC,2022-01-16,47,40
SPGNC,2022-01-23,28,23
SPGNC,2022-01-30,56,47
SPGNC,2022-02-06,56,47
SPGNC,2022-02-13,56,47
SPGNC,2022-02-20,56,47
SPGNC,2022-02-27,44,36
SPGNC,2022-03-06,66,55
SPGNC,2022-03-13,66,55
SPGNC,2022-03-20,66,55
SPGNC,2022-03-27,66,55
SPGVA,2022-01-02,43,19
SPGVA,2022-01-09,56,22
SPGVA,2022-01-16,56,22
SPGVA,2022-01-23,56,22
SPGVA,2022-01-30,56,22
SPGVA,2022-02-06,34,7
SPGVA,2022-02-13,34,7
SPGVA,2022-02-20,49,18
SPGVA,2022-02-27,49,18
SPGVA,2022-03-06,49,18
SPGVA,2022-03-13,28,14
SPGVA,2022-03-20,28,14
SPGVA,2022-03-27,46,21
