Boar Stud,Reportwk,tbs,bts
High Desert,2022-01-02,16,15
High Desert,2022-01-09,16,15
High Desert,2022-01-16,47,42
High Desert,2022-01-23,47,42
High Desert,2022-01-30,47,42
High Desert,2022-02-06,47,42
High Desert,2022-02-13,47,42
High Desert,2022-02-20,47,42
High Desert,2022-02-27,31,27
High Desert,2022-03-06,31,27
High Desert,2022-03-13,31,27
High Desert,2022-03-20,31,27
High Desert,2022-03-27,31,27
MB 7081,2022-01-02,52,44
MB 7081,2022-01-09,52,44
MB 7081,2022-01-16,71,52
MB 7081,2022-01-23,71,52
MB 7081,2022-01-30,71,52
MB 7081,2022-02-06,49,33
MB 7081,2022-02-13,49,33
MB 7081,2022-02-20,69,53
MB 7081,2022-02-27,69,53
MB 7081,2022-03-06,69,53
MB 7081,2022-03-13,39,28
MB 7081,2022-03-20,39,28
MB 7081,2022-03-27,57,40
MB 7082,2022-01-02,81,73
MB 7082,2022-01-09,81,73
MB 7082,2022-01-16,54,49
MB 7082,2022-01-23,54,49
MB 7082,2022-01-30,54,49
MB 7082,2022-02-06,72,67
MB 7082,2022-02-13,72,67
MB 7082,2022-02-20,42,38
MB 7082,2022-02-27,42,38
MB 7082,2022-03-06,42,38
MB 7082,2022-03-13,64,55
MB 7082,2022-03-20,64,55
MB 7082,2022-03-27,40,35
MB 7092,2022-01-02,70,70
MB 7092,2022-01-09,70,70
MB 7092,2022-01-16,70,70
MB 7092,2022-01-23,70,70
MB 7092,2022-01-30,70,70
MB 7092,2022-03-06,80,79
MB 7092,2022-03-13,80,79
MB 7092,2022-03-20,80,79
MB 7092,2022-03-27,80,79
MB 7093,2022-01-02,60,53
MB 7093,2022-01-09,60,53
MB 7093,2022-01-16,60,53
MB 7093,2022-01-23,60,53
MB 7093,2022-02-13,60,52
MB 7093,2022-02-20,60,52
MB 7093,2022-02-27,60,52
MB 7093,2022-03-06,60,52
MB 7093,2022-03-13,60,52
MB 7093,2022-03-20,110,52
MB 7093,2022-03-27,110,52
MBW Cimarron,2022-01-02,166,161
MBW Cimarron,2022-01-09,166,161
MBW Cimarron,2022-01-16,166,161
MBW Cimarron,2022-01-23,166,161
MBW Cimarron,2022-01-30,59,56
MBW Cimarron,2022-02-06,59,56
MBW Cimarron,2022-02-13,48,47
MBW Cimarron,2022-02-20,48,47
MBW Cimarron,2022-02-27,48,47
MBW Cimarron,2022-03-06,48,47
MBW Cimarron,2022-03-13,48,47
MBW Cyclone,2022-01-02,50,48
MBW Cyclone,2022-01-09,50,48
MBW Cyclone,2022-01-16,50,48
MBW Cyclone,2022-01-23,50,48
MBW Cyclone,2022-01-30,50,48
MBW Cyclone,2022-02-06,50,48
MBW Yuma,2022-01-02,23,21
MBW Yuma,2022-01-09,23,21
MBW Yuma,2022-01-16,23,21
MBW Yuma,2022-01-23,3,3
MBW Yuma,2022-01-30,3,3
Norson,2022-01-02,40,36
Norson,2022-01-09,40,36
Norson,2022-01-16,52,36
Norson,2022-01-23,52,36
Norson,2022-01-30,52,36
Norson,2022-02-06,52,36
Norson,2022-02-13,52,36
Norson,2022-02-20,52,36
Norson,2022-02-27,52,36
Norson,2022-03-06,96,79
Norson,2022-03-13,96,79
Norson,2022-03-20,56,43
Norson,2022-03-27,56,43
Skyline Boar Stud,2022-01-02,53,53
Skyline Boar Stud,2022-01-09,53,53
Skyline Boar Stud,2022-01-16,53,53
Skyline Boar Stud,2022-01-23,53,53
Skyline Boar Stud,2022-01-30,53,53
Skyline Boar Stud,2022-02-06,53,53
Skyline Boar Stud,2022-02-13,53,53
Skyline Boar Stud,2022-02-20,53,53
Skyline Boar Stud,2022-02-27,53,53
Skyline Boar Stud,2022-03-06,53,53
Skyline Boar Stud,2022-03-13,53,53
Skyline Boar Stud,2022-03-20,53,53
Skyline Boar Stud,2022-03-27,53,53
SPG9644,2022-01-23,207,117
SPG9644,2022-01-30,207,117
SPG9644,2022-02-06,207,117
SPG9644,2022-02-13,207,117
SPG9644,2022-02-20,207,117
SPG9644,2022-02-27,207,117
SPG9644,2022-03-06,402,213
SPG9644,2022-03-13,402,213
SPG9644,2022-03-20,402,213
SPG9644,2022-03-27,402,213
SPGNC,2022-01-02,59,49
SPGNC,2022-01-09,59,49
SPGNC,2022-01-16,86,70
SPGNC,2022-01-23,86,70
SPGNC,2022-01-30,86,70
SPGNC,2022-02-06,56,40
SPGNC,2022-02-13,56,40
SPGNC,2022-02-20,84,67
SPGNC,2022-02-27,84,67
SPGNC,2022-03-06,84,67
SPGNC,2022-03-13,55,48
SPGNC,2022-03-20,55,48
SPGNC,2022-03-27,83,76
SPGVA,2022-01-02,93,89
SPGVA,2022-01-09,93,89
SPGVA,2022-01-16,60,56
SPGVA,2022-01-23,60,56
SPGVA,2022-01-30,92,73
SPGVA,2022-02-06,92,73
SPGVA,2022-02-13,92,73
SPGVA,2022-02-20,62,44
SPGVA,2022-02-27,62,44
SPGVA,2022-03-06,62,44
SPGVA,2022-03-13,99,81
SPGVA,2022-03-20,99,81
SPGVA,2022-03-27,69,54
