Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,key,Boar Stud.y,ID,DESCR
Clinton,1422A,SPG120,CULLED,2019-05-17,2021-02-01,4,100.69288332414078,Clinton 4,Clinton,4,Genetics/Index
Clinton,170K8,SPG240,DEAD,2019-05-17,2021-01-27,8,97.31439729978028,Clinton 8,Clinton,8,Feet/Legs
Clinton,2033F,SPG120,CULLED,2020-06-03,2021-02-01,4,91.849593140066,Clinton 4,Clinton,4,Genetics/Index
Clinton,213K1,SPG240,CULLED,2019-03-12,2021-02-01,7,97.70946823037171,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,240K8,SPG240,CULLED,2019-05-17,2021-02-02,7,89.37217165771357,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,312H1,SPG120,CULLED,2018-11-14,2021-02-01,4,107.05298372988207,Clinton 4,Clinton,4,Genetics/Index
Clinton,36706,DNA600,DEAD,2019-11-06,2021-12-31,1,NA,Clinton 1,Clinton,1,Death-Expired
Clinton,3933E,SPG240,DEAD,2020-02-05,2021-01-20,8,112.54881852111671,Clinton 8,Clinton,8,Feet/Legs
Clinton,4468G,SPG240,CULLED,2020-07-16,2021-02-01,7,103.28388552859221,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,4594E,SPG240,CULLED,2020-03-19,2021-02-01,7,102.33256005288828,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,4720E,SPG240,CULLED,2020-03-19,2021-02-01,7,115.87183380936565,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,4730H,SPG240,CULLED,2020-09-24,2021-02-01,7,107.88789657521279,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,4817F,SPG240,CULLED,2020-04-22,2021-02-01,7,88.56501319762228,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,4830E,SPG240,CULLED,2020-03-19,2021-02-01,7,98.71437824726806,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,4840F,SPG240,DEAD,2020-04-22,2021-02-09,8,96.882433072159,Clinton 8,Clinton,8,Feet/Legs
Clinton,4913H,SPG240,CULLED,2020-09-24,2021-02-01,7,99.37112434124627,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,53303,DNA600,CULLED,2020-04-22,2021-02-01,7,NA,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,53765,DNA600,CULLED,2020-04-22,2021-02-02,8,NA,Clinton 8,Clinton,8,Feet/Legs
Clinton,6172B,SPG120,CULLED,2019-06-26,2021-02-01,4,76.98479834436192,Clinton 4,Clinton,4,Genetics/Index
Clinton,7023F,SPG120,CULLED,2020-06-03,2021-02-02,4,73.89398223318653,Clinton 4,Clinton,4,Genetics/Index
Clinton,7218F,SPG120,CULLED,2020-06-03,2021-02-01,4,94.35916585511599,Clinton 4,Clinton,4,Genetics/Index
Clinton,735F3,SPG240,CULLED,2018-09-05,2021-02-01,7,97.96826953182202,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,7640F,SPG120,CULLED,2020-06-03,2021-02-01,4,101.29749374247174,Clinton 4,Clinton,4,Genetics/Index
Clinton,7707F,SPG120,CULLED,2020-06-03,2021-02-01,4,87.39817677596898,Clinton 4,Clinton,4,Genetics/Index
Clinton,77819,DNA600,CULLED,2020-11-25,2021-02-01,7,NA,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,7895D,SPG120,CULLED,2019-12-18,2021-02-01,4,88.18721984400257,Clinton 4,Clinton,4,Genetics/Index
Clinton,7979G,SPG240,CULLED,2020-08-26,2021-02-02,7,113.07715655147965,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,8081G,SPG240,CULLED,2020-08-26,2021-02-01,7,87.37750541982152,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,8233G,SPG240,CULLED,2020-08-26,2021-02-01,7,99.07732159795825,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,8740B,SPG240,CULLED,2019-12-18,2021-02-01,7,94.17916337588039,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,8826B,SPG240,CULLED,2019-12-18,2021-02-01,7,105.85492093499319,Clinton 7,Clinton,7,Semen Quality/Fertility
Clinton,8841C,SPG120,CULLED,2019-11-07,2021-02-01,4,80.27028982024636,Clinton 4,Clinton,4,Genetics/Index
Clinton,9342H,SPG120,CULLED,2020-09-24,2021-02-01,4,105.11468911923842,Clinton 4,Clinton,4,Genetics/Index
