Boar Stud,BoarID,Breed,1,2,3,4,5,6,7,8,9,10,Last Collection Date,Reason_Studout
High Desert,1872G,SPG240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingold,Z90612,PIC800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingold,Z91042,PIC800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingold,Z91598,PIC800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MB 7092,2067918,SPG240,US,US,US,TR,TR,TR,TR,TR,TR,TR,2024-04-26,Semen quality       
MB 7092,2068884,SPG240,US,US,US,TR,TR,TR,TR,TR,TR,TR,2024-04-26,Semen quality       
MB 7093,2031525,SPG240,US,US,US,US,US,US,US,TR,TR,TR,2024-04-18,NA
MB 7093,2058752,SPG240,US,US,US,US,US,US,US,US,TR,TR,2024-04-21,SEMEN QUALITY       
MB 7093,2085249,SPG240,TR,TR,US,US,US,US,TR,US,TR,TR,2024-04-17,NA
MB 7093,2089434,SPG240,TR,TR,TR,US,US,TR,US,US,TR,TR,2024-04-21,SEMEN QUALITY       
MB 7093,2094234,SPG240,NA,NA,TR,US,TR,US,TR,TR,TR,TR,2024-04-18,NA
MB 7093,2106319,SPG240,US,US,US,TR,US,TR,TR,TR,TR,NC,2024-04-28,NA
MB 7093,2116956,SPG240,NA,NA,NA,NA,NA,NA,NA,US,TR,TR,2024-04-18,NA
MB 7093,2117083,SPG240,NA,NA,NA,NA,NA,NA,US,US,TR,TR,2024-04-18,NA
MB 7094,2063974,SPG240,TR,TR,TR,TR,TR,TR,TR,TR,TR,TR,2024-03-20,SEMEN QUALITY       
MB 7094,2064212,SPG240,US,US,US,TR,TR,TR,TR,TR,TR,TR,2024-02-28,NA
MB 7094,2065800,SPG240,US,US,US,US,TR,TR,TR,TR,TR,TR,2024-04-15,NA
MB 7094,2065951,SPG240,US,US,US,US,US,US,US,US,US,US,2024-03-07,FEETANDLEGS         
MB 7094,2068671,SPG240,US,US,US,TR,TR,TR,US,TR,TR,TR,2024-02-18,FEETANDLEGS         
MB 7094,2068682,SPG240,US,US,TR,US,TR,TR,TR,TR,TR,TR,2024-04-04,SEMEN QC            
MB 7094,2068708,SPG240,US,US,TR,US,US,US,US,US,TR,US,2024-04-12,NA
