Boar Stud,BoarID.x,Breed.x.x,Boar Status.x,Col_Date.x,Collected.x,Collection Status.x,Distributed.x,Index.x,Target.x,Included.x,Needed,Actual
SPGVA,58001,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58002,PICL02,WORKING,2021-03-09,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58003,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58004,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58007,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58008,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58009,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58010,PICL02,WORKING,2021-03-09,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58011,PICL02,WORKING,2021-03-11,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58013,PICL02,WORKING,2021-03-11,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58014,PICL02,WORKING,2021-03-11,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58016,PICL02,WORKING,2021-03-09,YES,TR,NO,NA,NA,YES,NA,NA
SPGVA,58019,PICL02,WORKING,2021-03-09,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58022,PICL02,WORKING,2021-03-11,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58023,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58024,PICL02,WORKING,2021-03-09,YES,TR,NO,NA,NA,YES,NA,NA
SPGVA,58025,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58028,PICL02,WORKING,2021-03-11,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58029,PICL02,WORKING,2021-03-09,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58030,PICL02,WORKING,2021-03-11,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58031,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58032,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58033,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58035,PICL02,WORKING,2021-03-09,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58037,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58040,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58041,PICL02,WORKING,2021-03-09,YES,TR,NO,NA,NA,YES,NA,NA
SPGVA,58044,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58046,PICL02,WORKING,2021-03-11,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58047,PICL02,WORKING,2021-03-09,YES,TR,NO,NA,NA,YES,NA,NA
SPGVA,58051,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58053,PICL02,WORKING,2021-03-11,YES,US,NO,NA,NA,YES,NA,NA
SPGVA,58054,PICL02,WORKING,2021-03-09,YES,TR,NO,NA,NA,YES,NA,NA
SPGVA,58055,PICL02,WORKING,2021-03-09,YES,TR,NO,NA,NA,YES,NA,NA
SPGVA,58056,PICL02,WORKING,2021-03-09,YES,TR,NO,NA,NA,YES,NA,NA
SPGVA,58060,PICL02,WORKING,2021-03-11,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58063,PICL02,WORKING,2021-03-09,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58064,PICL02,WORKING,2021-03-09,YES,TR,NO,NA,NA,YES,NA,NA
