Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
MB 7092,761G7,SPG240,WORKING,20001336580,2021-02-22,YES,US,YES,143.2911196040123
MB 7092,4714F,SPG240,WORKING,20001336642,2021-02-23,YES,US,YES,131.53303432252952
MB 7092,8768A,SPG240,WORKING,20001336689,2021-02-24,YES,TR,NO,122.26072709017686
MB 7092,2004735,SPG240,WORKING,20001336600,2021-02-22,YES,US,YES,121.43045556181524
MB 7092,510D9,SPG240,WORKING,20001336584,2021-02-22,YES,US,YES,118.1324364720505
MB 7092,3969F,SPG240,WORKING,20001336635,2021-02-23,YES,TR,NO,118.00610838188717
MB 7092,2004668,SPG240,WORKING,20001336841,2021-02-26,YES,US,YES,117.6772317480827
MB 7092,2474C,SPG240,WORKING,20001336599,2021-02-22,YES,US,YES,117.6296932403903
MB 7092,8285C,SPG240,WORKING,20001336585,2021-02-22,YES,US,YES,117.30424086191111
MB 7092,4478F,SPG240,WORKING,20001336756,2021-02-25,YES,US,YES,116.65836922811847
MB 7092,180K4,SPG240,WORKING,20001336630,2021-02-23,YES,US,YES,116.30468740087706
MB 7092,2004771,SPG240,WORKING,20001336604,2021-02-22,YES,TR,NO,115.98785050220319
MB 7092,9966A,SPG240,WORKING,20001336671,2021-02-24,YES,TR,NO,115.59434874901319
MB 7092,2204C,SPG240,WORKING,20001336628,2021-02-23,YES,US,YES,115.53133797546666
MB 7092,523J6,SPG240,WORKING,20001336877,2021-02-28,YES,US,YES,114.5393573303897
MB 7092,2358H,SPG240,WORKING,20001336835,2021-02-26,YES,US,YES,114.48012655255617
MB 7092,2178J,SPG240,WORKING,20001336679,2021-02-24,YES,US,YES,114.42476022623849
MB 7092,4385F,SPG240,WORKING,20001336638,2021-02-23,YES,US,YES,113.9694317699939
MB 7092,1145C,SPG240,WORKING,20001336623,2021-02-23,YES,US,YES,113.78197584499497
MB 7092,2354J,SPG240,WORKING,20001336700,2021-02-24,YES,US,YES,113.78142104584397
MB 7092,5848F,SPG240,WORKING,20001336641,2021-02-23,YES,US,YES,113.48166815002155
MB 7092,2252C,SPG240,WORKING,20001336595,2021-02-22,YES,US,YES,113.41560208443289
MB 7092,2350C,SPG240,WORKING,20001336629,2021-02-23,YES,US,YES,113.11672907491243
MB 7092,9794F,SPG240,WORKING,20001336593,2021-02-22,YES,US,YES,112.98548576199923
MB 7092,4043B,SPG240,WORKING,20001336627,2021-02-23,YES,US,YES,112.7183655867521
MB 7092,6230F,SPG240,WORKING,20001336880,2021-02-28,YES,US,YES,112.60735011319447
MB 7092,4479F,SPG240,NONWORKING,20001336655,2021-02-23,YES,TR,NO,111.99114964303712
MB 7092,4409F,SPG240,WORKING,20001336750,2021-02-25,YES,US,YES,111.95099579337578
MB 7092,1852J,SPG240,WORKING,20001336673,2021-02-24,YES,US,YES,111.86365413793881
MB 7092,5009F,SPG240,WORKING,20001336754,2021-02-25,YES,US,YES,111.78989888792943
MB 7092,8303C,SPG240,WORKING,20001336757,2021-02-25,YES,US,YES,111.69749384203321
MB 7092,2305C,SPG240,WORKING,20001336759,2021-02-25,YES,US,YES,111.58911370586927
MB 7092,8299C,SPG240,WORKING,20001336634,2021-02-23,YES,US,YES,111.58005978409524
MB 7092,2986F,SPG240,WORKING,20001336633,2021-02-23,YES,US,YES,111.11562963743475
MB 7092,9795F,SPG240,WORKING,20001336770,2021-02-25,YES,US,YES,111.02173312362376
MB 7092,616J6,SPG240,WORKING,20001336636,2021-02-23,YES,US,YES,110.68126626763376
MB 7092,1109C,SPG240,WORKING,20001336879,2021-02-28,YES,US,YES,110.42516449726737
MB 7092,4176B,SPG240,WORKING,20001336631,2021-02-23,YES,US,YES,110.28932022128762
MB 7092,4075B,SPG240,WORKING,20001336602,2021-02-22,YES,US,YES,110.18529790054373
MB 7092,2371G,SPG240,WORKING,20001336838,2021-02-26,YES,US,YES,110.01230734617585
MB 7092,2004779,SPG240,WORKING,20001336845,2021-02-26,YES,US,YES,109.96965068362869
MB 7092,181K4,SPG240,WORKING,20001336643,2021-02-23,YES,US,YES,109.9325053980095
MB 7092,2937F,SPG240,WORKING,20001336738,2021-02-25,YES,US,YES,109.89971345871282
MB 7092,2456H,SPG240,WORKING,20001336878,2021-02-28,YES,US,YES,109.70859990165334
MB 7092,6522E,SPG240,WORKING,20001336688,2021-02-24,YES,TR,NO,109.67749326913291
MB 7092,3207A,SPG240,WORKING,20001336603,2021-02-22,YES,US,YES,109.65432930842154
MB 7092,816J6,SPG240,WORKING,20001336675,2021-02-24,YES,US,YES,109.48436181079923
MB 7092,2169J,SPG240,WORKING,20001336848,2021-02-26,YES,TR,NO,109.11474190637826
MB 7092,7007C,SPG240,WORKING,20001336846,2021-02-26,YES,US,YES,109.11288985113426
MB 7092,3983F,SPG240,WORKING,20001336847,2021-02-26,YES,US,YES,109.06056659026801
MB 7092,156K4,SPG240,WORKING,20001336762,2021-02-25,YES,US,YES,108.98739187265201
MB 7092,8712A,SPG240,WORKING,20001336764,2021-02-25,YES,US,YES,108.74134876419232
MB 7092,2004782,SPG240,WORKING,20001336850,2021-02-26,YES,US,YES,108.65342914458331
MB 7092,5437B,SPG240,WORKING,20001336761,2021-02-25,YES,US,YES,108.58415945271196
MB 7092,582J6,SPG240,WORKING,20001336644,2021-02-23,YES,US,YES,108.50675136661772
MB 7092,8765A,SPG240,WORKING,20001336875,2021-02-28,YES,US,YES,108.46253350994947
MB 7092,4112B,SPG240,WORKING,20001336769,2021-02-25,YES,US,YES,107.88277065064158
