Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index,Target,SelDate,UnSelDate
SPGVA,1014G,SPG240,WORKING,20001175136,2021-03-08,YES,US,NO,100.37763663094789,CTH,2021-01-25,NA
SPGVA,1014G,SPG240,WORKING,20001175310,2021-03-14,YES,US,YES,100.37763663094789,CTH,2021-01-25,NA
MB 7092,1044J,SPG240,WORKING,20001337590,2021-03-12,YES,US,YES,100.60815689796634,NA,NA,NA
MB 7092,106H9,SPG240,WORKING,20001337638,2021-03-14,YES,US,YES,104.98490063018546,NA,NA,NA
MB 7092,1094G,SPG240,WORKING,20001337521,2021-03-11,YES,US,YES,104.06735315771431,NA,NA,NA
SPGVA,1103E,SPG120,WORKING,20001175266,2021-03-14,YES,US,YES,110.40700601357905,CTH,2021-02-22,NA
MB 7092,1108J,SPG240,WORKING,20001337606,2021-03-12,YES,US,YES,101.1732773566942,NA,NA,NA
MB 7092,1109C,SPG240,WORKING,20001337615,2021-03-14,YES,US,YES,110.74356126752012,NA,NA,NA
MB 7092,1110J,SPG240,WORKING,20001337644,2021-03-14,YES,US,YES,100.4593163541888,NA,NA,NA
MB 7092,1116C,SPG240,WORKING,20001337352,2021-03-08,YES,US,YES,103.53125130979073,NA,NA,NA
MB 7092,1117C,SPG240,WORKING,20001337647,2021-03-14,YES,US,YES,99.6394363525472,NA,NA,NA
MB 7092,1130C,SPG240,WORKING,20001337531,2021-03-11,YES,US,YES,98.8308752975156,NA,NA,NA
SPGVA,1137G,SPG240,WORKING,20001175127,2021-03-08,YES,US,NO,99.33253168909458,CTH,2021-01-25,NA
MB 7092,1145C,SPG240,WORKING,20001337412,2021-03-09,YES,US,YES,115.09260129738105,NA,NA,NA
MB 7092,1148H,SPG240,NONWORKING,20001337474,2021-03-11,YES,TR,NO,87.22566079459015,NA,NA,NA
SPGNC,1149G,SPG240,WORKING,20001148988,2021-03-08,YES,US,NO,121.82332263954697,NA,NA,NA
SPGNC,1149G,SPG240,WORKING,20001149188,2021-03-14,YES,US,YES,121.82332263954697,NA,NA,NA
SPGVA,1168G,SPG240,WORKING,20001175261,2021-03-11,YES,US,YES,106.90022417901336,NA,NA,NA
MB 7092,1170H,SPG240,WORKING,20001337380,2021-03-09,YES,US,YES,114.1665232082245,NA,NA,NA
MB 7092,1212H,SPG240,WORKING,20001337451,2021-03-10,YES,US,YES,106.41542284131675,NA,NA,NA
SPGVA,1224J,SPG110,WORKING,20001175178,2021-03-09,YES,US,NO,116.94873426969899,NA,NA,NA
SPGNC,1261G,SPG240,WORKING,20001148993,2021-03-08,YES,US,NO,131.99985734841675,Nucleus,2021-02-22,NA
SPGNC,1261G,SPG240,WORKING,20001149193,2021-03-14,YES,US,YES,131.99985734841675,Nucleus,2021-02-22,NA
SPGVA,1262H,SPG240,WORKING,20001175175,2021-03-09,YES,US,NO,88.7224166089563,CTH,2021-03-01,NA
SPGVA,1266C,SPG240,WORKING,20001175302,2021-03-14,YES,US,YES,103.67984224940751,NA,NA,NA
SPGVA,1272G,SPG240,WORKING,20001175301,2021-03-14,YES,TR,NO,103.81257351729403,NA,NA,NA
MB 7092,1294C,SPG240,WORKING,NA,NA,NO,NA,NO,91.08812994100234,NA,NA,NA
MB 7092,1295C,SPG240,WORKING,20001337530,2021-03-11,YES,US,YES,105.0947847074642,NA,NA,NA
SPGNC,1311J,SPG110,WORKING,20001149005,2021-03-08,YES,US,NO,117.43425570311584,NA,NA,NA
MB 7092,1323C,SPG240,WORKING,20001337532,2021-03-11,YES,US,YES,105.73150117702582,NA,NA,NA
SPGVA,1338H,SPG240,WORKING,20001175245,2021-03-11,YES,US,YES,114.91825399397818,CTH,2021-02-22,NA
SPGVA,1338H,SPG240,WORKING,20001175134,2021-03-08,YES,US,NO,114.91825399397818,CTH,2021-02-22,NA
SPGNC,1354H,SPG240,WORKING,20001148991,2021-03-08,YES,US,NO,120.88596992126052,West Trial,2021-01-25,NA
SPGNC,1354H,SPG240,WORKING,20001149182,2021-03-14,YES,US,YES,120.88596992126052,West Trial,2021-01-25,NA
SPGVA,1389G,SPG240,WORKING,20001175154,2021-03-09,YES,US,YES,114.16089783842115,NA,NA,NA
MB 7092,1414H,SPG240,WORKING,20001337456,2021-03-10,YES,TR,NO,91.03755075299757,NA,NA,NA
SPGVA,1423H,SPG240,WORKING,20001175253,2021-03-11,YES,TR,NO,95.8760160464319,Nuc/CTH,2021-02-01,NA
SPGNC,1489J,SPG110,WORKING,20001149055,2021-03-10,YES,US,NO,111.12130437654513,NA,NA,NA
SPGVA,1490J,SPG110,WORKING,20001175194,2021-03-09,YES,US,NO,118.15025125580948,NA,NA,NA
MB 7092,156K4,SPG240,WORKING,20001337618,2021-03-14,YES,US,YES,107.85221615575826,NA,NA,NA
MB 7092,1617J,SPG240,WORKING,20001337346,2021-03-08,YES,US,YES,99.80982146345858,NA,NA,NA
MB 7092,1628G,SPG240,NONWORKING,20001337359,2021-03-08,YES,TR,NO,89.09689522691549,NA,NA,NA
SPGNC,1658G,SPG240,WORKING,20001149115,2021-03-11,YES,US,YES,114.67133945512995,NA,NA,NA
SPGVA,1669J,SPG240,WORKING,20001175255,2021-03-11,YES,US,YES,105.9755089428655,NA,NA,NA
MB 7092,1672J,SPG240,WORKING,20001337646,2021-03-14,YES,US,YES,99.42306765584276,NA,NA,NA
MB 7092,170J8,SPG240,WORKING,20001337516,2021-03-11,YES,US,YES,106.28172522350488,NA,NA,NA
SPGNC,1758G,SPG240,WORKING,20001149175,2021-03-14,YES,US,YES,127.16742804430521,Nuc/CTH,2021-03-01,NA
SPGNC,1767G,SPG240,WORKING,20001148989,2021-03-08,YES,US,NO,95.00741637658001,NA,NA,NA
