Boar Stud,% Non-Genetic Removals,MScore,% Missing Scores,PScore,% 14 Day Rest,RScore,Trash Rate,CScore,Lutalyse Usage,LScore,Total,4 Week Average,Quarter Average
Clinton,0,3,35.74561403508772,0,10.5,1,2.0202020202020203,2,0,0,6,4.5,4.230769230769231
GCM23-4,0,3,100,0,0.9302325581395349,3,5.714285714285714,3,0,0,9,7.25,8.076923076923077
High Desert,34.91234613950019,1,1.1111111111111112,3,2.293577981651376,3,16,2,1.5384615384615385,3,12,12.75,12.76923076923077
Ingold,0,3,100,0,0,3,3.614457831325301,2,0,0,8,6,6.615384615384615
MB 7081,29.388908512892968,2,0,3,2.4154589371980677,3,5.185185185185185,3,3.7037037037037033,3,14,11.75,11.538461538461538
MB 7082,30.588235294117645,1,0,3,0.53475935828877,3,6.976744186046512,3,4.411764705882353,3,13,11.5,11.153846153846153
MB 7092,50.94981003799241,0,0.13440860215053765,3,0,3,12.797619047619047,3,0.8797653958944283,3,12,12.25,12.307692307692308
MB 7093,42.75836292281816,1,0,3,0.22779043280182232,3,6.306306306306306,3,1.392757660167131,3,13,12.25,11.76923076923077
MB 7094,51.33565621370499,0,0,3,0.5361930294906166,3,2.3529411764705883,2,0.5730659025787965,3,11,12.25,11.923076923076923
MBW Cimarron,22.325581395348838,2,1.6339869281045754,3,0,3,6.134969325153374,3,4.9079754601226995,3,14,14,13.692307692307692
MBW Cyclone,15.239335721263433,2,1.4492753623188406,3,0,3,15.677966101694915,3,1.694915254237288,3,14,14.75,14.384615384615385
MBW Yuma,28.09545249887438,2,1.7241379310344827,3,0,3,6.0606060606060606,3,2.272727272727273,3,14,13.25,12.76923076923077
Norson,0,3,17.12962962962963,0,6.956521739130435,2,9.032258064516128,3,0,3,11,9.25,9.692307692307692
Prestage MS,0,3,100,0,16.923076923076923,0,14.705882352941178,3,0,0,6,6.25,6.461538461538462
Princeton,10.542321338063863,3,0,3,0.3597122302158274,3,12.781954887218044,3,2.877697841726619,3,15,14.75,14.461538461538462
Skyline Boar Stud,28.964613368283093,2,0,3,4.739336492890995,3,5.911330049261084,3,0,3,14,13,12.615384615384615
SPGNC,11.589895988112927,3,0.26246719160104987,3,0,3,4.938271604938271,2,2.923976608187134,3,14,14,14.153846153846153
SPGVA,5.158730158730158,3,0,3,0,3,6.172839506172839,3,1.910828025477707,3,15,15,14.76923076923077
