Boar Stud,Treatment Rate,TScore,% 14 Day Rest,RScore,% Missing Scores,PScore,Lutalyse Usage,LScore,Total,4 Week Average,Quarter Average
MB 7081,0.9389671361502347,3,1.4084507042253522,3,0,2,1.0526315789473684,2,10,8.5,9.076923076923077
MB 7082,0.5714285714285714,3,0,3,0,2,3.9473684210526314,2,10,8.75,8.846153846153847
MB 7092,2.9349702666410895,3,0,3,0,2,3.7593984962406015,2,10,9.25,9.538461538461538
MB 7093,0.03211819495744339,3,0,3,0,2,0.24630541871921183,2,10,10,9.615384615384615
MB 7094,0.9760132340777501,3,5.806451612903226,1,0,2,2.8350515463917527,2,8,9.5,9.23076923076923
MBW Cimarron,0.9192065795839379,3,0,3,0.5376344086021506,2,3.8834951456310676,2,10,10,9.76923076923077
MBW Cyclone,0.9790209790209791,3,0,3,0,2,0.5025125628140703,2,10,9.5,9.307692307692308
MBW Yuma,1.5755329008341055,3,0,3,0,2,3.488372093023256,2,10,10,10
Skyline Boar Stud,0.09819967266775778,3,0,3,0,2,0,2,10,9.25,9.461538461538462
SPGNC,0.7525083612040134,3,0,3,0,2,0,2,10,10,9.846153846153847
SPGVA,1.1242603550295858,3,1.9230769230769231,3,0,2,2.380952380952381,2,10,9.75,9.538461538461538
