Boar Stud,Inventory,Target,Inventory to target,Average Inventory,Total Non-Genetic Removals,% Non-Genetic Removals,14 Day Rest,Batches,Incomplete Batches,Missing Scores,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Total Boars in Stud,Treated Boars,Treatment Rate,actual,target,Missed Index,WeekCommencing,yrwk,Collections,Treatments,Lutalyse Usage,scores,% Missing Scores,% 14 Day Rest,TScore,RScore,PScore,LScorea,LScoreb,LScore,Total
MB 7081,191,200,95.5,192.9230769,7,14.51355662,5,33,0,0,0,0,0,0,0,0,191,0,0,105.1217188,105.1465777,0.033686559,19450,202314,71,6,8.450704225,198,0,2.617801047,0,2,2,1,1,1,5
MB 7082,198,200,99,194.6153846,1,2.055335968,2,30,0,0,0,0,0,0,0,0,198,0,0,105.6438385,105.6438385,0.014705882,19450,202314,82,3,3.658536585,180,0,1.01010101,0,3,2,2,2,2,7
MB 7092,395,250,158,419.5384615,25,23.83571691,0,47,0,0,0,0,0,0,0,0,395,1.692307692,0.428432327,103.7465182,103.7494453,0.002927007,19450,202314,370,20,5.405405405,282,0,0,3,3,2,1,1,1,9
MB 7093,460,450,102.2222222,451,13,11.52993348,12,48,2,4,0,0,0,0,2,2,460,0,0,105.8574266,105.8587561,0.001329567,19450,202314,282,3,1.063829787,288,1.388888889,2.608695652,0,2,0,2,2,2,4
MB 7094,375,450,83.33333333,318.4,10,12.56281407,7,36,0,0,0,0,0,0,0,0,375,0,0,106.0024181,106.12895,0.1265319,19450,202314,266,3,1.127819549,216,0,1.866666667,0,3,2,2,2,2,7
MBW Cimarron,377,399,94.48621554,364.4615385,41,44.9978894,1,54,1,1,0,0,0,0,0,1,377,0.153846154,0.040807998,107.3737462,107.570865,0.197118741,19450,202314,189,13,6.878306878,324,0.308641975,0.265251989,3,3,2,1,1,1,9
MBW Cyclone,348,403,86.35235732,321.3846154,17,21.15844902,0,38,0,0,0,0,0,0,0,0,348,1.153846154,0.331564987,103.0909308,103.5335407,0.397559848,19450,202314,294,2,0.680272109,228,0,0,3,3,2,2,2,2,10
MBW Yuma,152,203,74.87684729,162.1538462,9,22.20113852,0,21,0,0,0,0,0,0,0,0,152,0.153846154,0.101214575,105.3281368,105.3281368,0.054945055,19450,202314,75,3,4,126,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,157,200,78.5,179.2307692,24,53.56223176,3,10,0,0,0,0,0,0,0,0,157,0,0,102.6040721,102.6040721,0,19450,202314,130,0,0,60,0,1.910828025,0,3,2,2,0,2,7
SPG9644,324,0,0,351.4615385,2,2.276209236,7,28,0,0,0,0,0,0,0,0,324,0,0,105.0783536,105.0783536,0,19450,202314,273,5,1.831501832,168,0,2.160493827,0,2,2,2,2,2,6
SPGNC,202,220,91.81818182,205.3076923,4,7.793180967,0,65,0,0,0,0,0,0,0,0,202,0.461538462,0.228484387,113.3247038,113.7419051,0.417201309,19450,202314,126,2,1.587301587,390,0,0,3,3,2,2,2,2,10
SPGVA,276,292,94.52054795,274.8461538,14,20.37503498,2,62,0,0,0,0,0,0,0,0,276,0,0,111.8312897,115.5851879,2.004465393,19450,202314,168,0,0,372,0,0.724637681,0,3,2,2,0,2,7
MB 7081,190,200,95,192.9230769,6,12.44019139,6,33,0,0,0,0,0,0,0,0,190,0,0,105.4112209,105.4112209,0.016260163,19457,202315,78,3,3.846153846,198,0,3.157894737,0,2,2,2,2,2,6
MB 7082,199,200,99.5,195.1538462,4,8.198659834,0,33,0,0,0,0,0,0,0,0,199,0,0,104.6606925,104.9316141,0.525140851,19457,202315,109,3,2.752293578,198,0,0,0,3,2,2,2,2,7
MB 7092,469,250,187.6,417.3076923,22,21.0875576,0,47,0,1,0,0,0,1,0,0,469,2.923076923,0.62325734,103.5854304,103.5955045,0.010074174,19457,202315,384,14,3.645833333,282,0.354609929,0,3,3,2,2,2,2,10
MB 7093,460,450,102.2222222,450.3076923,13,11.54765972,13,44,1,1,0,0,0,0,0,1,460,0,0,104.7132807,104.764397,0.05111625,19457,202315,380,7,1.842105263,264,0.378787879,2.826086957,0,2,2,2,2,2,6
MB 7094,473,450,105.1111111,323.5454545,11,13.59932565,7,33,0,0,0,0,0,0,0,0,473,0,0,105.3293189,105.3293189,0,19457,202315,310,23,7.419354839,198,0,1.479915433,0,3,2,1,1,1,6
MBW Cimarron,375,399,93.98496241,362.6153846,40,44.1238863,2,47,1,1,0,0,0,0,0,1,375,0.153846154,0.041025641,106.3055701,106.4571219,0.151551779,19457,202315,338,11,3.25443787,282,0.354609929,0.533333333,3,3,2,2,2,2,10
MBW Cyclone,355,403,88.08933002,327,19,23.24159021,0,43,0,0,0,0,0,0,0,0,355,1.153846154,0.325027086,102.1804795,102.6073367,0.383784767,19457,202315,290,6,2.068965517,258,0,0,3,3,2,2,2,2,10
MBW Yuma,190,203,93.59605911,161.6153846,11,27.22513089,0,23,0,0,0,0,0,0,0,0,190,0.307692308,0.16194332,105.4319309,105.433777,0.001008898,19457,202315,74,3,4.054054054,138,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,154,200,77,175.6153846,26,59.22032413,5,11,0,0,0,0,0,0,0,0,154,0,0,102.3343475,102.3343475,0,19457,202315,125,0,0,66,0,3.246753247,0,2,2,2,0,2,6
SPG9644,372,0,0,348.6923077,2,2.294286345,7,29,0,0,0,0,0,0,0,0,372,0,0,105.8615113,105.9168329,0.05532155,19457,202315,241,5,2.074688797,174,0,1.88172043,0,3,2,2,2,2,7
SPGNC,201,220,91.36363636,206.0769231,5,9.705113848,0,60,0,0,0,0,0,0,0,0,201,1.076923077,0.535782625,115.3339841,115.8295932,0.495609111,19457,202315,108,2,1.851851852,360,0,0,3,3,2,2,2,2,10
SPGVA,276,292,94.52054795,275,13,18.90909091,3,63,0,0,0,0,0,0,0,0,276,0,0,108.9156089,114.708791,3.397898974,19457,202315,168,0,0,378,0,1.086956522,0,3,2,2,0,2,7
MB 7081,189,200,94.5,193,6,12.43523316,7,32,0,0,0,0,0,0,0,0,189,0,0,104.8504839,104.8504839,0,19464,202316,70,4,5.714285714,192,0,3.703703704,0,2,2,1,1,1,5
MB 7082,199,200,99.5,197.2307692,5,10.14040562,0,33,0,0,0,0,0,0,0,0,199,0.384615385,0.193274063,104.8245109,104.8245109,0.0078125,19464,202316,103,0,0,198,0,0,3,3,2,2,0,0,8
MB 7092,467,250,186.8,421.2307692,22,20.89116143,0,47,1,1,0,0,0,0,1,0,467,3.923076923,0.840059298,104.4094987,104.4209321,0.01143341,19464,202316,307,9,2.931596091,282,0.354609929,0,3,3,2,2,2,2,10
MB 7093,458,450,101.7777778,449.7692308,15,13.34017445,15,50,3,6,0,0,0,0,3,3,458,0,0,105.2994279,105.3091626,0.00973467,19464,202316,310,5,1.612903226,300,2,3.27510917,0,2,0,2,2,2,4
MB 7094,471,450,104.6666667,336,13,15.47619048,8,33,0,0,0,0,0,0,0,0,471,0,0,107.2599043,107.5971163,0.337212052,19464,202316,262,11,4.198473282,198,0,1.6985138,0,3,2,2,2,2,7
MBW Cimarron,374,399,93.73433584,360.9230769,18,19.9488491,2,49,1,1,0,0,0,0,0,1,374,0.153846154,0.041135335,105.8955663,106.0793859,0.183819588,19464,202316,243,11,4.526748971,294,0.340136054,0.534759358,3,3,2,2,2,2,10
MBW Cyclone,353,403,87.59305211,333.3846154,17,20.39686202,0,45,1,1,0,0,0,0,0,1,353,1.307692308,0.370451079,101.6746395,101.899266,0.316308977,19464,202316,278,9,3.237410072,270,0.37037037,0,3,3,2,2,2,2,10
MBW Yuma,189,203,93.10344828,164.1538462,9,21.93064667,0,23,0,0,0,0,0,0,0,0,189,0.538461538,0.284900285,107.9561505,108.0271817,0.054749705,19464,202316,71,3,4.225352113,138,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,152,200,76,172.0769231,24,55.78900313,6,10,0,0,0,0,0,0,0,0,152,0.076923077,0.050607287,103.2588426,103.2588426,0,19464,202316,125,0,0,60,0,3.947368421,3,2,2,2,0,2,9
SPG9644,372,0,0,349.6923077,0,0,7,24,0,0,0,0,0,0,0,0,372,0,0,106.785009,106.8705532,0.085544134,19464,202316,197,3,1.52284264,144,0,1.88172043,0,3,2,2,2,2,7
SPGNC,201,220,91.36363636,206.8461538,5,9.669021941,0,44,0,0,0,0,0,0,0,0,201,1.230769231,0.612323,113.1544915,113.8289536,0.674462048,19464,202316,129,1,0.775193798,264,0,0,3,3,2,2,2,2,10
SPGVA,274,292,93.83561644,275.2307692,9,13.07993292,1,67,0,0,0,0,0,0,0,0,274,0.153846154,0.056148231,108.3989817,114.781296,3.737234276,19464,202316,165,0,0,402,0,0.364963504,3,3,2,2,0,2,10
MB 7081,188,200,94,192.3846154,7,14.55417833,8,33,0,0,0,0,0,0,0,0,188,0.076923077,0.04091653,105.0069902,105.0069902,0,19471,202317,79,0,0,198,0,4.255319149,3,1,2,2,0,0,6
MB 7082,198,200,99,198,6,12.12121212,0,33,4,24,4,4,4,4,4,4,198,0.461538462,0.233100233,104.9919763,105.0369435,0.041382339,19471,202317,94,3,3.191489362,198,12.12121212,0,3,3,0,2,2,2,8
MB 7092,466,250,186.4,424.8461538,23,21.6548977,0,48,1,5,0,1,1,1,1,1,466,4.769230769,1.023440079,105.1348073,105.139898,0.005090674,19471,202317,340,11,3.235294118,288,1.736111111,0,3,3,0,2,2,2,8
MB 7093,411,450,91.33333333,449.3846154,25,22.2526532,0,43,4,6,0,0,0,0,2,4,411,0.461538462,0.112296463,104.8216758,104.8267154,0.005039515,19471,202317,412,3,0.72815534,258,2.325581395,0,3,3,0,2,2,2,8
