Boar Stud,Batches,Incomplete Batches,Missing Scores,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5
Clinton,76,75,163,0,0,10,34,44,75
GCM23-4,88,88,528,88,88,88,88,88,88
GCM7-4,51,51,306,51,51,51,51,51,51
High Desert,15,1,1,0,0,0,0,0,1
Ingold,60,60,360,60,60,60,60,60,60
MB 7081,62,0,0,0,0,0,0,0,0
MB 7082,52,0,0,0,0,0,0,0,0
MB 7092,124,1,1,0,0,0,0,0,1
MB 7093,124,0,0,0,0,0,0,0,0
MB 7094,106,0,0,0,0,0,0,0,0
MBW Cimarron,51,3,5,0,0,0,1,1,3
MBW Cyclone,69,2,6,0,1,1,1,1,2
MBW Yuma,58,3,6,0,0,1,1,1,3
Norson,72,72,74,0,0,0,0,2,72
Prestage MS,56,56,336,56,56,56,56,56,56
Princeton,76,0,0,0,0,0,0,0,0
Skyline Boar Stud,67,0,0,0,0,0,0,0,0
SPGNC,127,2,2,0,0,0,0,0,2
SPGTX,41,1,2,0,0,0,0,1,1
SPGVA,121,0,0,0,0,0,0,0,0
