Boar Stud,Average Days Rest,Standard Deviation
Clinton,7.45348837209302,2.580434601158912
GCM23-4,7.41269841269841,1.853417665163473
High Desert,12.646017699115,3.751000709292457
Ingold,9.34375,2.161033500312682
MB 7081,8.20886075949367,3.158355206600714
MB 7082,7.55633802816901,1.490036164477696
MB 7092,7.3910447761194,1.9110246916878373
MB 7093,7.48888888888889,1.738612169872201
MB 7094,6.21362229102167,1.3653430642076108
MBW Cimarron,6.82702702702703,0.9102820420093436
MBW Cyclone,7.04,1.5543694081614294
MBW Yuma,7.82876712328767,2.1825628372392565
Norson,8.15322580645161,1.2626231234414083
Prestage MS,8.31632653061224,1.563744770322686
Princeton,6.83208955223881,0.7122366254812739
Skyline Boar Stud,7.49732620320856,3.76939333921356
SPGNC,7.01714285714286,1.8397722426327408
SPGVA,7.56363636363636,2.1704526590117292
