Boar Stud,Samples,Minimum Concentration,CScore,Minimum Morphology,MScore,Average Concentration,AScore,Bacteria %,BScore,Total,4 Week Average,13 Week Average
SPG Farm 62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,6.461538461538462
MB 7092,9,40.01859464,4,80.24,3,43.46089323,2,0,1,10,9.5,9.307692307692308
MBW Cimarron,8,39.8837005,3,74.41,3,43.351603995,2,0,1,9,9.25,8.846153846153847
MBW Cyclone,8,37.90525312,1,82.97,3,44.0485570475,2,0,1,7,9,8.76923076923077
MB 7081,8,43.93052468,4,76.97,3,49.46118438625,1,0,1,9,8.25,8.076923076923077
MB 7082,7,41.45746546,4,68.96,2,46.30080740857143,2,0,1,9,9.75,9.23076923076923
SPG9644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,8.153846153846153
MB 7094,4,41.50243017,4,79.44,3,43.323501050000004,2,0,1,10,8.75,8.153846153846153
Skyline Boar Stud,5,40.82795947,4,72.96,3,44.560030658,2,0,1,10,8.25,9.153846153846153
SPGNC,4,38.13007669,2,87.7,3,45.953936765,2,100,0,7,9.5,9.23076923076923
SPGVA,6,40.73803005,4,87.21,3,47.43027817833333,1,0,1,9,8.75,8.692307692307692
MB 7093,5,40.06355935,4,82.74,3,42.086971442,2,0,1,10,9,9.461538461538462
MBW Yuma,7,40.19845349,4,76.17,3,44.60499537285715,2,0,1,10,8.75,9.153846153846153
