BoarID,Collections Trashed Consecutively
10107,2
10121,2
10149,2
10153,2
10154,1
10164,1
10169,3
10175,1
10183,1
10192,1
10197,6
10206,6
10219,6
1450750,6
1450795,6
1450801,6
16017,5
16064,5
16130,6
16132,5
16147,6
16150,6
16168,6
16169,6
16176,5
16180,5
16181,6
16182,5
16187,1
16196,3
16198,6
16203,5
16205,5
16225,6
16238,1
2004668,6
2010421,6
2010564,6
2010565,6
2010729,1
2010856,6
2014439,6
2014622,6
2014772,3
2014848,1
2015082,3
2015152,6
2016954,6
2018672,6
2019201,4
2019509,4
2021204,6
2027194,6
2027790,6
2027806,4
2027833,5
2028037,3
2028080,6
2028209,3
2028334,1
2031007,6
2031755,1
2034033,3
2034292,6
2034845,6
2037193,6
2040686,6
2040862,4
2045068,5
2045989,1
2047713,6
2048769,4
2048840,1
2049395,3
2050509,2
2050670,1
2050769,6
2050891,4
2050943,3
2052579,5
2052720,6
2052783,6
2052789,4
2052797,1
2052808,1
2052948,6
2052984,6
2052996,6
2053256,6
2053309,5
2053326,6
2053359,6
2053593,1
2053650,6
2053770,5
2053914,6
2053930,6
2054292,4
2054331,6
2054375,6
2054476,4
2054717,3
2054728,2
2054812,3
2054819,6
2054924,2
2055719,3
2056218,6
2056263,3
2056299,5
2056623,2
2056693,1
2056697,1
2056728,4
2056729,3
2056769,1
2057043,4
2057156,1
2057446,3
2057712,6
2057731,6
2057857,6
2057899,1
2058603,6
2058992,1
2059051,6
2059068,5
2059458,6
2059634,2
2059655,3
2059703,6
2059779,2
2059781,6
2059818,1
2063144,6
2063196,6
2063235,6
2063249,6
2063281,6
2063361,4
2063401,1
2063781,3
2064014,6
2064084,6
2064138,2
2064485,1
2064552,2
2064685,4
2064885,6
2065086,6
2065227,3
2065338,1
2065381,3
2065677,2
2065680,6
2065743,1
2065749,5
2065791,3
2065836,1
2065972,5
2066459,1
2066794,6
2067208,4
2067654,2
2067845,6
2067914,6
2068030,2
2068095,6
2068122,1
2068145,1
2068297,1
2068413,2
2068419,1
2068420,1
2068745,6
2068802,6
2068813,6
2068835,5
2068868,1
2068870,6
2068906,1
2069042,6
2069128,4
2069141,6
2069182,2
2069298,2
2069320,6
2069475,6
2069595,1
2069644,2
2069758,1
2069868,5
2069870,2
2069980,6
2070085,3
2070089,1
2070156,6
2070184,2
2070205,6
2070211,6
2070227,6
2070229,2
2070366,3
2070370,6
2070386,1
2070421,6
2070708,1
2070731,2
2070937,6
2071335,6
2071411,6
2071467,5
2071653,6
2071814,3
2071883,1
2073728,6
2073892,2
2073896,6
2073897,6
2074067,4
2074068,6
2074208,2
2074235,6
2074278,1
2074280,4
2074291,6
2074295,6
2074380,2
2074403,6
2074404,6
2074464,6
2074739,1
2074772,2
2074792,4
2074847,1
2074959,4
2079864,1
2079913,6
2080164,1
2080231,1
2080261,6
2080337,6
2080383,6
2080399,2
2080438,6
2080445,6
2080453,6
2080501,4
2080562,6
2080726,6
2080774,6
2080813,1
2080830,1
2080838,3
2080853,6
2080867,5
2080894,1
2080896,6
2081004,2
2081007,5
2081236,1
2081238,3
2081342,1
2081343,1
2081368,1
2081451,3
2084512,4
2084615,6
2084640,1
2084843,1
2085233,6
2085238,4
2085345,6
2085455,6
2085476,3
2085577,1
2085634,4
2085770,1
2085806,6
2085811,6
2085820,1
2085822,6
2085830,1
2085832,6
2085906,6
2085927,6
2085948,4
2086018,6
2086041,6
2086093,5
2086158,3
2086199,2
2086226,6
2086260,4
2086469,6
2086606,6
2086820,6
2086950,1
2087003,6
2087084,2
2087122,4
2087262,6
2087296,6
2087545,6
2087675,6
2087712,3
2087740,6
2087830,6
2087921,6
2087923,1
2088180,1
2088197,6
2088215,1
2088240,4
2088464,2
2088876,1
2089366,6
2089537,6
2089707,1
2089722,1
2089891,3
2093011,6
2093039,1
2093200,5
2093441,6
2093455,6
2093688,4
2093819,1
2093914,1
2093990,2
2094037,6
2094062,6
2094194,6
2094671,6
2096014,6
2096216,6
2096251,4
2096257,1
2096293,6
2096302,6
2096336,4
2096380,6
2096429,2
2096430,3
2096445,5
2096513,6
2096514,5
2096515,6
2096558,6
2096564,5
2096566,3
2096619,3
2096625,6
2096642,2
2096659,6
2096686,3
2096716,4
2096855,6
2096893,6
2097076,4
2097085,6
2097245,1
2097268,6
2097386,1
2097440,6
2097473,6
2097590,6
2097622,6
2097623,6
2097695,6
2097874,2
2097962,5
2098233,6
2098237,3
2098601,6
2098657,6
2098658,6
2098818,6
2098884,6
2098911,6
2098968,6
2099187,6
2099497,6
2099503,6
2099611,6
2099631,6
2099637,6
2099671,6
2099762,6
2099836,6
2099905,6
2099922,5
2099955,6
2099956,6
2101049,6
2102862,6
2103038,6
2103049,6
2103050,6
2103063,6
2103066,6
2103114,6
2103253,4
2103260,6
2103276,6
2103410,6
2103429,3
2103431,6
2103443,6
2103471,6
2103493,6
2103521,6
2103525,6
2103526,6
2103532,6
2103540,6
2103565,6
2103566,5
2103573,6
2103599,6
2103616,6
2103624,5
2103628,4
2103632,6
2103634,6
2103636,6
2103669,6
2103680,6
2103681,6
2103683,6
2103736,6
2103739,6
2103759,6
2103772,6
2103792,6
2103829,6
2103854,1
2103972,6
2104006,6
2104017,6
2104271,6
