Boar Stud,BoarID,Breed,Date_Arrival
High Desert,1885G,SPG240,2020-11-09
High Desert,4244P,SPG240,2019-08-20
MB 7092,566H5,SPG240,2018-11-22
MB 7093,1541H,SPG240,2020-12-20
MB 7093,571F9,SPG240,2018-07-13
MB 7093,630H7,SPG240,2019-01-15
MB 7093,8707J,SPG240,2020-11-22
MB 7093,9181J,SPG240,2020-12-20
MBW Cimarron,1439G,SPG240,2020-10-05
MBW Cimarron,16044,DNA400,2021-01-04
MBW Cimarron,16055,DNA400,2021-01-04
MBW Cimarron,2048G,SPG240,2020-10-05
MBW Cyclone,4587N,SPG240,2019-07-08
MBW Cyclone,7863U,SPG240,2019-12-23
MBW Yuma,40069,DNA600,2020-11-19
Norson,2054T,SPG240,2019-11-15
Norson,3180T,SPG240,2019-11-15
Norson,4197T,SPG240,2019-11-15
Norson,4207T,SPG240,2019-11-15
Norson,EX_50753,OTHER,2020-02-21
Norson,EX_50768,OTHER,2020-02-21
Norson,EX_50771,OTHER,2020-02-21
Norson,EX_50821,OTHER,2020-02-21
Norson,EX_50879,OTHER,2020-02-21
Norson,EX_50893,OTHER,2020-02-21
Norson,EX_50917,OTHER,2020-02-21
Norson,EX_51296,OTHER,2020-02-21
Norson,EX_51311,OTHER,2020-02-21
Norson,EX_51397,OTHER,2020-02-21
Norson,EX_51509,OTHER,2020-02-21
Norson,EX_51742,OTHER,2020-02-21
Princeton,2004104,SPG240,2021-01-03
Princeton,2068H,SPG240,2021-01-03
Princeton,9288J,SPG240,2021-01-03
Princeton,9289J,SPG240,2021-01-03
Skyline Boar Stud,8615F,SPG240,2020-06-13
SPGTX,2838V,SPG110,2020-01-24
SPGVA,58024,PICL02,2020-10-07
