Boar Stud,BoarID,Breed,Date_Arrival
Clinton,9919F,SPG240,2020-06-03
GCM23-4,EX_35483,OTHER,2021-01-18
High Desert,1565H,SPG240,2021-02-01
High Desert,2014010,SPG240,2021-08-10
High Desert,2014039,SPG240,2021-08-10
High Desert,2014088,SPG240,2021-08-10
High Desert,2428V,SPG240,2020-03-02
High Desert,3037P,SPG240,2019-08-20
High Desert,6227R,SPG240,2019-11-11
MB 7092,2016972,SPG240,2021-05-08
MB 7092,2034260,SPG240,2021-09-24
MB 7092,5425B,SPG240,2019-10-04
MB 7092,5893H,SPG240,2021-03-13
MB 7092,6957H,SPG240,2021-05-08
MB 7092,7007C,SPG240,2019-11-30
MB 7093,2019057,SPG240,2021-10-10
MB 7093,2024376,SPG240,2021-08-16
MB 7093,5528H,SPG240,2021-02-15
MBW Cimarron,1409227,SPG240,2021-01-25
MBW Cimarron,16013,DNA200,2020-10-26
MBW Cimarron,16016,DNA200,2020-10-26
MBW Cimarron,16018,DNA200,2020-10-26
MBW Cimarron,16062,DNA200,2021-04-16
MBW Cimarron,16078,TNLR,2021-06-07
MBW Cimarron,16102,TNLR,2021-06-07
MBW Cimarron,2011005,SPG240,2021-03-11
MBW Cimarron,2014652,SPG240,2021-08-26
MBW Cimarron,2180G,SPG240,2020-10-05
MBW Cimarron,4303G,SPG240,2020-05-25
MBW Cyclone,2006068,SPG240,2021-07-05
MBW Cyclone,5769G,SPG240,2020-10-25
MBW Cyclone,6465H,SPG240,2021-04-09
MBW Cyclone,6492H,SPG240,2021-04-09
MBW Cyclone,6699H,SPG240,2021-04-09
Norson,4746T,SPG240,2019-11-15
Norson,51853,SPG110,2020-02-21
Norson,5404T,SPG240,2019-11-15
Prestage MS,56,PIC800,2020-11-12
Princeton,376J5,SPG240,2019-02-11
Skyline Boar Stud,3239F,SPG240,2020-06-13
Skyline Boar Stud,6987E,SPG240,2020-06-13
Skyline Boar Stud,8772F,SPG240,2020-06-13
SPGTX,2838V,SPG110,2020-01-24
SPGVA,2014812,SPG240,2021-09-27
SPGVA,2030960,SPG240,2021-09-27
