Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,key,Boar Stud.y,ID,DESCR,Collections Trashed Consecutively,Consecutive Failed Collections
MB 7082,2086469,SPG240,CULLED,2023-07-31,2024-04-02,55,110.9101661352979,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,2099497,SPG240,CULLED,2023-12-11,2024-04-02,55,103.40306499112366,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,2099503,SPG240,CULLED,2023-12-11,2024-04-02,55,110.11383981608637,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,2099611,SPG240,CULLED,2023-12-11,2024-04-02,55,114.76878771721074,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,2099631,SPG240,CULLED,2023-12-11,2024-04-02,55,111.11382030047761,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,2099762,SPG240,CULLED,2023-12-11,2024-04-02,55,109.03585404830474,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,2104279,SPG240,CULLED,2024-01-15,2024-04-02,55,107.2826196034671,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,2109028,SPG240,CULLED,2024-01-15,2024-04-02,55,109.25728338559145,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,2109030,SPG240,CULLED,2024-01-15,2024-04-02,55,103.73451230444289,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,2109035,SPG240,CULLED,2024-01-15,2024-04-02,55,108.00301216596034,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,2109107,SPG240,CULLED,2024-01-15,2024-04-02,55,101.14672978188509,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,2109162,SPG240,CULLED,2024-01-15,2024-04-02,55,100.53512676244985,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7082,70345,PICL02,CULLED,2022-05-02,2024-04-02,55,115,MB 7082 55,MB 7082,55,SEMEN QUALITY,6,NA
MB 7092,1450750,SPG240,CULLED,2022-06-13,2024-04-15,36,98.95287966905781,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,1450801,SPG240,CULLED,2022-06-13,2024-04-15,36,92.58335080430099,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2010421,SPG240,CULLED,2022-06-13,2024-04-15,36,85.46116843372117,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2031007,SPG240,CULLED,2022-04-15,2024-04-15,36,87.54235924478671,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2052948,SPG240,CULLED,2022-06-13,2024-04-15,36,84.21382048021198,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2057712,SPG240,CULLED,2022-09-19,2024-04-15,36,82.19455360224313,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2063281,SPG240,CULLED,2022-11-27,2024-04-15,36,88.51242552976835,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2065086,SPG240,CULLED,2023-02-13,2024-04-15,36,94.11022555729343,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2067914,SPG240,CULLED,2023-02-13,2024-04-15,36,88.34476073176872,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2068802,SPG240,CULLED,2023-04-17,2024-04-15,36,92.49948256938856,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2071411,SPG240,CULLED,2023-07-10,2024-04-15,36,93.26991976368384,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2080445,SPG240,CULLED,2023-05-29,2024-04-15,36,96.73227993688076,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2080453,SPG240,CULLED,2023-05-29,2024-04-15,36,102.62675256910518,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2080774,SPG240,CULLED,2023-05-29,2024-04-15,36,93.38318726839621,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2087675,SPG240,CULLED,2023-07-10,2024-04-15,36,104.13173946224137,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2087740,SPG240,CULLED,2023-07-10,2024-04-15,36,87.70422182158448,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MB 7092,2097695,SPG240,CULLED,2023-10-09,2024-04-15,36,96.76558960710551,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,1
MB 7092,2098657,SPG240,CULLED,2023-12-04,2024-04-15,36,104.17246687511312,MB 7092 36,MB 7092,36,SEMEN QUALITY,6,NA
MBW Cimarron,16147,TNLR,CULLED,2022-05-10,2024-04-01,36,104,MBW Cimarron 36,MBW Cimarron,36,SEMEN QUALITY,6,NA
MBW Cimarron,16150,TNLR,CULLED,2022-05-10,2024-04-01,36,112,MBW Cimarron 36,MBW Cimarron,36,SEMEN QUALITY,6,NA
MBW Cimarron,16168,TNLR,CULLED,2023-05-15,2024-04-01,36,119,MBW Cimarron 36,MBW Cimarron,36,SEMEN QUALITY,6,NA
MBW Cimarron,16169,TNLR,CULLED,2023-05-15,2024-04-01,36,107,MBW Cimarron 36,MBW Cimarron,36,SEMEN QUALITY,6,NA
