Boar Stud,actual,target,Missed Index,WeekCommencing
Clinton,100.14756492287232,108.48397757451447,8.33641265164215,2021-02-22
GCM23-4,100.02690051363878,100.03274477987013,0.005844266231349593,2021-02-22
High Desert,101.09939244676164,104.0861423306546,2.986749883892955,2021-02-22
Ingold,99.82699663885006,105.985568137149,6.15857149829894,2021-02-22
MB 7081,104.46613133029109,105.48554214878514,1.0194108184940518,2021-02-22
MB 7082,106.8290337564265,106.8290337564265,0,2021-02-22
MB 7092,100.64000494212755,101.74790936060013,1.107904418472586,2021-02-22
MB 7093,105.31014006007963,105.37622004819882,0.06607998811918492,2021-02-22
MB 7094,104.44258617499652,105.38736338436453,0.9447772093680129,2021-02-22
MBW Cimarron,111.42117094183288,111.42117094183288,0,2021-02-22
MBW Cyclone,103.82192031021505,103.82192031021505,0,2021-02-22
MBW Yuma,106.00763667276362,106.00763667276362,0,2021-02-22
Norson,103.04200774048911,NA,NA,2021-02-22
Prestage MS,97.78187810635572,97.78187810635572,0,2021-02-22
Princeton,105.36928649630389,105.47847425179482,0.10918775549093596,2021-02-22
Skyline Boar Stud,104.84918440270063,104.87756907208612,0.028384669385488337,2021-02-22
SPGNC,112.31720583847611,113.46066559006404,1.1434597515879261,2021-02-22
SPGTX,114.72675702231977,119.86452610046389,5.137769078144117,2021-02-22
SPGVA,110.48969546566912,111.23355612908551,0.7438606634163989,2021-02-22
