Boar Stud,Total Boars,Boars Trained Within 14 Days,Percent Trained
Clinton,65,27,41.53846153846154
GCM23-4,52,39,75
High Desert,85,72,84.70588235294117
Ingold,122,47,38.52459016393443
MB 7081,123,22,17.88617886178862
MB 7082,139,87,62.589928057553955
MB 7092,90,84,93.33333333333333
MB 7093,159,156,98.11320754716981
MB 7094,150,129,86
MBW Cimarron,146,141,96.57534246575342
MBW Cyclone,115,112,97.3913043478261
MBW Yuma,101,88,87.12871287128714
Norson,69,17,24.637681159420293
Prestage MS,60,NA,NA
Princeton,165,153,92.72727272727272
Skyline Boar Stud,58,57,98.27586206896551
SPGNC,97,89,91.75257731958763
SPGVA,131,124,94.65648854961832
