Boar Stud,trash,total,Trash Rate
Clinton,2,99,2.0202020202020203
GCM23-4,10,175,5.714285714285714
High Desert,24,150,16
Ingold,3,83,3.614457831325301
MB 7081,7,135,5.185185185185185
MB 7082,9,129,6.976744186046512
MB 7092,43,336,12.797619047619047
MB 7093,21,333,6.306306306306306
MB 7094,8,340,2.3529411764705883
MBW Cimarron,10,163,6.134969325153374
MBW Cyclone,37,236,15.677966101694915
MBW Yuma,8,132,6.0606060606060606
Norson,14,155,9.032258064516128
Prestage MS,15,102,14.705882352941178
Princeton,34,266,12.781954887218044
Skyline Boar Stud,12,203,5.911330049261084
SPGNC,8,162,4.938271604938271
SPGTX,1,17,5.88235294117647
SPGVA,10,162,6.172839506172839
