Boar Stud,Total Boars in Stud,Treated Boars,Treatment Rate
MB 7081,213,2,0.9389671361502347
MB 7082,175,1,0.5714285714285714
MB 7092,401,11.76923076923077,2.9349702666410895
MB 7093,479,0.15384615384615385,0.03211819495744339
MB 7094,465,4.538461538461538,0.9760132340777501
MBW Cimarron,318,2.923076923076923,0.9192065795839379
MBW Cyclone,275,2.6923076923076925,0.9790209790209791
MBW Yuma,166,2.6153846153846154,1.5755329008341055
Skyline Boar Stud,235,0.23076923076923078,0.09819967266775778
SPGNC,184,1.3846153846153846,0.7525083612040134
SPGVA,260,2.923076923076923,1.1242603550295858
