Boar Stud,Possible Readings,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
High Desert,6,59.745,17.9,17.9,17.9,17.7,NA,47.24941176470588
MB 7081,5,3,NA,3,3,3,1217.41,NA
MB 7082,6,19.2,19.2,19,NA,19.425974025974025,19,19
MB 7092,6,17.8,17.8,17.8,17.8,17.8,NA,17.7
MB 7093,6,17.7,17.7,17.7,17.7,17.7,NA,17.7
MB 7094,6,14.476470588235294,13.8,1.33,18.5,18.79491525423729,NA,18.6
MBW Cimarron,6,3,12.8,1.3,9.9,0.8,0.8,NA
MBW Cyclone,4,295.59798181818184,17.2005,NA,207.15843943661972,17.2607,NA,NA
MBW Yuma,5,17.2,NA,17.2,17.2,17.48846153846154,17.5,NA
Princeton,7,17.6,17.6,17.6,17.7,17.6,17.7,17.6
Skyline Boar Stud,5,17.9,NA,NA,17.9,19.8,19.5,19.5
SPGNC,5,407.0822580645161,420.15,420.15,315.608064516129,NA,NA,720.05
SPGTX,2,134.1,620.01,NA,NA,NA,NA,NA
SPGVA,3,NA,18.1,NA,18.1,NA,NA,17.8
