BoarID,Misc_Info,Spec_Group
1052C, 120.00,Y    
6651H, 123.89,Y    
6011H, 117.16,B    
5513H, 115.34,G    
6335E, 115.11,G    
1742G, 120.56,Y    
5661H, 124.71,Y    
4035B, 120.36,Y    
4244H, 113.52,     
2000846, 119.18,B    
9930J, 115.56,G    
3269F, 114.17,G    
1709G, 120.68,Y    
5990F, 120.98,Y    
2000954, 119.91,Y    
9400J, 111.85,     
6648G, 120.19,Y    
9985F, 117.33,B    
2005618, 120.53,Y    
2000297, 131.19,Y    
6174H, 129.04,Y    
6936E, 119.30,Y    
1507H, 116.09,B    
5797F, 122.79,Y    
6009H, 127.50,Y    
6120H, 124.31,Y    
1726H, 116.51,B    
2000601, 129.74,Y    
1708G, 119.53,Y    
6518H, 115.06,G    
1730H, 114.59,G    
5877G, 116.67,B    
6799E, 125.10,Y    
2000844, 128.86,Y    
4595H, 113.00,     
5066H, 115.40,G    
2016158, 118.55,B    
5263H, 115.90,G    
1013G, 120.06,Y    
488E5, 129.81,Y    
2012183, 119.02,B    
6545E, 114.75,G    
2173H, 120.35,Y    
2000231, 127.75,Y    
6319H, 119.75,Y    
6322H, 131.86,Y    
5743H, 120.51,Y    
7108C, 117.28,B    
6117H, 124.94,Y    
3865F, 114.25,G    
2617F, 115.26,G    
8737J, 123.04,Y    
2005577, 116.49,B    
6010H, 115.87,G    
2000275, 122.59,Y    
1829G, 111.03,     
8907A, 115.29,G    
1793H, 112.60,     
1109J, 112.13,     
2005543, 116.27,B    
2186G, 113.60,     
852J6, 112.03,     
5975F, 105.73,     
2577F, 109.11,     
2375C, 108.20,     
5662H, 123.22,Y    
8635A, 113.89,G    
2000605, 129.25,Y    
2000762, 116.03,G    
6965E, 113.67,     
3984F, 116.22,B    
2198H, 116.56,B    
2494C,  95.38,     
4011B, 100.53,     
2005620, 119.36,Y    
5980G, 118.43,B    
552G7,  97.23,     
2005542, 117.98,B    
6151F, 115.84,G    
6837H, 120.45,Y    
8733A, 110.83,     
6498H, 131.33,Y    
2000845, 126.32,Y    
6712E, 115.14,G    
6658H, 126.74,Y    
6205H, 122.09,Y    
5486B, 119.70,Y    
6330E, 115.63,G    
2000948, 116.57,B    
6764H, 107.66,     
2016156, 122.58,Y    
2005208, 110.33,     
6840H, 117.11,B    
5075H, 120.06,Y    
2201C, 116.20,B    
2000634, 125.03,Y    
6392H, 116.96,B    
8875A, 104.04,     
8408C, 116.35,B    
5274B, 113.80,G    
8886A, 114.15,G    
338D2, 120.83,Y    
4961F, 120.14,Y    
842H5,  90.87,     
2000604, 119.54,Y    
2000806, 121.03,Y    
6710E, 116.07,B    
6724H, 117.93,B    
8600J, 113.91,G    
6413E, 107.27,     
5800F, 117.82,B    
4252B,  97.82,     
2005617, 117.11,B    
673J6, 118.65,B    
1414H, 111.24,     
5643E,  88.46,     
5971H, 123.53,Y    
5893H, 116.09,B    
6315E, 126.94,Y    
6481H, 113.15,     
9969F, 114.39,G    
6298G, 113.58,     
5805G, 110.28,     
8339C,  97.50,     
2000082, 115.54,G    
2698F, 113.16,     
1083G, 113.95,G    
8747A,  96.99,     
6320H, 125.33,Y    
403K1, 111.41,     
5692G, 119.38,Y    
1108J, 120.26,Y    
5424B,  96.85,     
3412F, 115.88,G    
1177J, 120.13,Y    
6226H, 124.16,Y    
2449J, 110.17,     
5956F, 109.28,     
1213H, 117.32,B    
2000419, 127.73,Y    
4566F, 113.75,     
5095F, 109.24,     
4508F, 113.45,     
7157C, 107.41,     
7155C,  95.13,     
4282F, 106.77,     
2113H, 122.30,Y    
