Boar Stud,Yearweek,Sample Leaked,Form Incorrect,Tube Missing,Number Incorrect,Sample ID incorrect,Sample Quality,Total,Submissions
SPG NC,202411,0,0,0,0,0,0,0,3
SPG VA,202411,0,0,0,0,0,0,0,3
Deercroft,202411,0,0,0,0,0,0,0,3
Laurel Hill,202411,0,0,0,0,0,0,0,3
Askin,202411,0,0,0,0,0,0,0,6
Williamston,202411,0,0,0,0,0,0,0,6
Robersonville,202411,0,0,0,0,0,0,0,6
Cimarron,202411,0,0,0,0,0,0,0,4
Cyclone,202411,0,0,0,0,0,0,0,3
Skyline,202411,0,0,0,0,0,0,0,3
Yuma,202411,0,0,0,0,0,0,0,2
SPG NC,202410,0,0,0,0,0,0,0,3
SPG VA,202410,0,0,0,0,0,0,0,3
Deercroft,202410,0,1,0,0,0,0,1,3
Laurel Hill,202410,0,0,0,0,0,0,0,3
Askin,202410,0,0,0,0,0,0,0,6
Williamston,202410,0,0,0,0,0,0,0,6
Robersonville,202410,0,0,0,0,0,0,0,6
Cimarron,202410,0,0,0,0,0,0,0,4
Cyclone,202410,0,1,0,0,0,0,1,3
Skyline,202410,0,0,0,0,0,0,0,4
Yuma,202410,0,0,0,0,0,0,0,2
SPG NC,202409,0,0,0,0,0,0,0,3
SPG VA,202409,0,0,0,0,0,0,0,3
Deercroft,202409,0,0,0,0,0,0,0,3
Laurel Hill,202409,0,0,0,0,0,0,0,3
Askin,202409,0,0,0,0,0,0,0,6
Williamston,202409,0,0,0,0,0,0,0,6
Robersonville,202409,0,0,0,0,0,0,0,6
Cimarron,202409,0,0,0,0,0,0,0,4
Cyclone,202409,0,0,0,0,0,0,0,3
Skyline,202409,0,0,0,0,0,0,0,4
Yuma,202409,0,0,0,0,0,0,0,2
SPG NC,202408,0,0,0,0,0,0,0,3
SPG VA,202408,0,0,0,0,0,0,0,3
Deercroft,202408,0,0,0,0,0,0,0,3
Laurel Hill,202408,1,0,0,0,0,0,1,3
Askin,202408,0,0,0,0,0,0,0,6
Williamston,202408,0,0,0,0,0,0,0,6
Robersonville,202408,0,0,1,0,0,0,1,6
Cimarron,202408,0,0,0,0,0,0,0,4
Cyclone,202408,0,0,0,0,0,0,0,3
Skyline,202408,0,0,0,0,0,0,0,4
Yuma,202408,0,0,0,0,0,0,0,2
SPG NC,202407,0,0,0,0,0,0,0,3
SPG VA,202407,0,0,0,0,0,0,0,3
Deercroft,202407,0,0,0,0,0,0,0,3
Laurel Hill,202407,0,0,0,0,0,0,0,3
Askin,202407,0,0,0,0,0,0,0,6
Williamston,202407,0,0,0,0,0,0,0,6
Robersonville,202407,0,0,0,0,0,0,0,6
Cimarron,202407,0,0,0,0,0,0,0,4
Cyclone,202407,0,0,0,0,0,0,0,3
Skyline,202407,0,0,0,0,0,0,0,3
Yuma,202407,0,0,0,0,0,0,0,2
SPG NC,202406,0,0,0,0,0,0,0,3
SPG VA,202406,0,0,0,0,0,0,0,3
Deercroft,202406,0,0,0,0,0,0,0,3
Laurel Hill,202406,0,0,0,0,0,0,0,3
Askin,202406,0,0,0,0,0,0,0,6
Williamston,202406,0,0,0,0,0,0,0,6
Robersonville,202406,0,0,0,0,0,0,0,6
Cimarron,202406,0,0,0,0,0,0,0,4
Cyclone,202406,0,0,0,0,0,0,0,3
Skyline,202406,0,0,0,0,0,0,0,3
Yuma,202406,0,0,0,0,0,0,0,2
SPG NC,202405,0,1,1,0,0,0,2,3
SPG VA,202405,0,0,0,0,0,0,0,3
Deercroft,202405,0,0,0,0,0,0,0,3
Laurel Hill,202405,0,0,0,0,0,0,0,3
Askin,202405,0,0,0,0,0,0,0,6
Williamston,202405,0,1,0,0,0,0,1,6
Robersonville,202405,0,0,0,0,0,0,0,6
Cimarron,202405,0,0,0,0,0,0,0,4
Cyclone,202405,0,0,0,0,0,0,0,3
Skyline,202405,0,0,0,0,0,1,1,4
Yuma,202405,0,0,0,0,0,0,0,2
SPG NC,202404,0,0,0,0,0,0,0,3
SPG VA,202404,0,0,0,0,0,0,0,3
Deercroft,202404,0,0,0,0,0,0,0,3
Laurel Hill,202404,0,0,0,0,0,0,0,3
Askin,202404,0,0,0,0,0,0,0,6
Williamston,202404,0,0,1,0,0,0,1,6
Robersonville,202404,0,0,0,0,0,0,0,6
Cimarron,202404,0,0,0,0,0,0,0,4
Cyclone,202404,0,0,0,0,0,0,0,3
Skyline,202404,0,0,0,0,0,0,0,3
Yuma,202404,0,0,0,0,0,0,0,2
SPG NC,202403,0,1,0,0,0,0,1,3
SPG VA,202403,0,0,0,0,0,0,0,3
Deercroft,202403,0,0,0,0,0,0,0,3
Laurel Hill,202403,0,0,0,0,0,0,0,3
Askin,202403,0,0,0,0,0,0,0,6
Williamston,202403,0,0,0,0,0,1,1,6
Robersonville,202403,0,0,0,0,0,0,0,6
Cimarron,202403,0,0,0,0,0,0,0,4
Cyclone,202403,0,0,0,0,0,0,0,3
Skyline,202403,0,0,0,0,0,0,0,3
Yuma,202403,0,0,0,0,0,0,0,2
SPG NC,202402,0,0,0,0,0,0,0,3
SPG VA,202402,0,0,0,0,0,1,1,3
Deercroft,202402,0,0,0,0,0,0,0,3
Laurel Hill,202402,0,0,0,0,0,0,0,3
Askin,202402,0,0,0,0,0,0,0,6
Williamston,202402,0,0,0,0,0,0,0,6
Robersonville,202402,0,0,0,0,0,0,0,6
Cimarron,202402,0,0,0,0,0,0,0,4
Cyclone,202402,0,0,0,0,0,0,0,3
Skyline,202402,0,0,0,0,0,0,0,3
Yuma,202402,0,0,0,0,0,0,0,2
SPG NC,202401,0,0,0,0,0,0,0,3
SPG VA,202401,0,0,0,0,0,0,0,3
